urs,sequence_length,model_source,diagram_sequence_start,diagram_sequence_stop,diagram_bps,diagram_model_start,diagram_model_stop,model_length,model_basepair_count,diagram_overlap_count,label,prediction
URS00001BEC0D,1130,ribovision,2,1129,293,2917,4037,4123,1087,8,1,1
URS00001BF3B2,334,ribovision,217,334,13,11,129,3120,899,0,0,0
URS00001C1980,429,ribovision,429,2,16,821,1275,1559,373,1,0,0
URS00001C4E6D,2259,ribovision,2,2229,641,668,3008,3048,847,9,1,1
URS00001C7564,153,ribovision,4,153,24,4,149,3506,993,0,0,0
URS00001C8290,162,ribovision,5,158,26,2,154,3555,1065,0,0,0
URS00001C9BF1,158,ribovision,3,156,20,3,155,5227,1553,0,0,0
URS00001CBE7C,354,ribovision,200,353,61,2461,2614,2922,891,0,0,0
URS00001CC127,1871,ribovision,1,1871,467,178,2041,3506,993,25,1,1
URS00001CF85D,184,ribovision,2,156,41,5,160,3555,1065,0,0,0
URS00001D787B,117,ribovision,1,117,21,43,158,3551,1009,0,0,0
URS00001D85AC,2884,ribovision,2,2883,874,10,2899,2922,891,12,1,1
URS00001DD1C7,401,ribovision,112,268,34,4,160,3506,993,0,0,0
URS00001E2417,592,ribovision,22,592,133,1148,1734,5227,1553,6,0,0
URS00001E3A20,499,ribovision,6,144,24,499,638,4123,1087,2,0,0
URS00001E3E84,357,ribovision,189,355,61,2461,2627,2922,891,0,0,0
URS00001E8A1F,1396,ribovision,37,1395,298,34,1357,1559,373,6,1,1
URS00001EB287,612,ribovision,13,605,135,204,814,1559,373,3,0,0
URS00001EB6AE,2892,ribovision,3,2889,852,5,2901,2904,860,3,1,1
URS00001F006B,158,ribovision,1,158,26,1,158,3555,1065,0,0,0
URS00001F89E7,475,ribovision,138,366,106,1221,1449,1559,373,2,0,0
URS00001F9A82,182,ribovision,4,164,30,2,161,3551,1009,0,0,0
URS00001FA03B,679,ribovision,132,678,152,1123,1674,5227,1553,0,0,0
URS00001FCD22,3201,ribovision,1,3201,928,223,3498,3554,1065,25,1,1
URS00001FE014,127,ribovision,2,123,20,33,154,5227,1553,0,0,0
URS00001FE6EC,331,ribovision,226,330,9,10,114,3120,899,0,0,0
URS0000201480,328,crw,1,328,36,113,442,937,177,0,0,1
URS000020266E,161,ribovision,2,141,34,23,161,3551,1009,0,0,0
URS0000202B6F,774,ribovision,21,588,143,865,1466,1559,373,1,0,0
URS00002067BF,784,ribovision,333,784,164,1296,1782,5227,1553,9,0,0
URS0000207D8D,718,ribovision,377,717,110,1405,1751,5227,1553,6,0,0
URS00002081CD,793,ribovision,117,793,175,1244,1807,5227,1553,8,0,0
URS00002083AB,714,ribovision,1,714,191,8,693,1542,507,0,1,0
URS000020A67D,2560,ribovision,2,2559,767,366,2922,2922,891,7,1,1
URS000020C192,2568,ribovision,7,2557,655,336,2912,2921,776,1,1,1
URS0000211D4C,142,ribovision,2,142,21,21,160,3551,1009,0,0,0
URS000021E514,750,ribovision,413,749,186,1425,1776,5227,1553,18,0,0
URS000021E5B1,1511,ribovision,1,1511,482,8,1541,1542,507,0,1,1
URS0000220249,2906,ribovision,2,2901,882,9,2919,2922,891,12,1,1
URS0000220C5A,118,rfam,38,2,7,2,38,70,24,0,0,1
URS0000222DC9,392,ribovision,275,392,10,2,117,2921,776,0,0,0
URS0000225177,111,ribovision,1,110,24,39,150,3506,993,0,0,0
URS0000226817,1216,rfam,882,948,1,73,139,158,12,1,0,0
URS0000226B3E,803,ribovision,255,802,181,1210,1771,5227,1553,14,0,0
URS000023644C,165,ribovision,3,162,21,1,159,3551,1009,0,0,0
URS0000237E8B,301,ribovision,131,291,32,3,169,3120,899,0,0,0
URS0000238A95,716,ribovision,276,715,107,1278,1758,5227,1553,8,0,0
URS000023C1B4,333,ribovision,221,333,9,10,122,3120,899,0,0,0
URS000023D2D9,480,ribovision,161,323,38,1,166,3555,1065,0,0,0
URS000023DE4C,420,rfam,3,419,88,3,420,421,88,2,1,1
URS000023E763,1935,ribovision,756,990,390,743,974,1519,509,11,1,1
URS000023F513,1130,ribovision,2,1129,294,2917,4037,4123,1087,8,1,1
URS00002402DC,1401,ribovision,5,1399,300,4,1383,1559,373,4,1,1
URS0000247BBD,154,ribovision,1,153,26,2,154,3555,1065,0,0,0
URS0000247ED0,494,ribovision,368,494,16,3,129,3120,899,0,0,0
URS0000249252,167,ribovision,7,166,21,2,160,3551,1009,0,0,0
URS0000250FC6,401,ribovision,214,401,34,4,192,2925,772,0,0,0
URS000025C7F1,344,ribovision,190,343,61,2461,2614,2922,891,0,0,0
URS000025E99C,504,ribovision,410,503,24,5,98,3137,912,0,0,0
URS0000263244,675,ribovision,263,425,30,2,163,3551,1009,2,0,0
URS0000263B1B,2906,ribovision,4,2901,771,4,2918,2921,776,4,1,1
URS000026B859,177,ribovision,6,164,27,1,158,3551,1009,0,0,0
URS0000275E79,611,ribovision,238,399,27,1,161,3551,1009,0,0,0
URS0000277094,3279,ribovision,2,3278,934,161,3515,3554,1065,27,1,1
URS000027A768,2141,ribovision,1,2140,438,248,2305,4123,1087,30,0,0
URS000027ABA9,153,ribovision,4,153,20,4,149,3506,993,0,0,0
URS000027BFC7,448,ribovision,362,212,29,3,152,3506,993,2,0,0
URS000028124C,2702,ribovision,440,2611,488,905,3084,4123,1087,20,0,1
URS0000284FBD,492,ribovision,18,409,90,421,833,3551,1009,7,0,0
URS00002863D6,502,ribovision,466,2,63,872,1382,1559,373,2,0,0
URS0000286DA5,260,ribovision,2,211,65,1260,1466,1559,373,0,0,0
URS000028C1C5,775,ribovision,312,771,204,1329,1802,5227,1553,6,0,0
URS000028F0AC,516,ribovision,29,515,106,872,1390,1559,373,1,0,0
URS00002929FD,459,ribovision,329,458,20,2,131,3137,912,0,0,0
URS0000293C2B,768,ribovision,2,108,18,491,599,4123,1087,2,0,0
URS0000295516,2892,ribovision,8,2889,818,175,3105,3120,899,11,1,1
URS000029AC7E,155,ribovision,1,149,24,5,150,3506,993,0,0,0
URS000029F720,2902,ribovision,2,2902,858,4,2904,2904,860,1,1,1
URS00002A02B5,630,ribovision,1,628,168,570,1162,4123,1087,5,0,0
URS00002A07F8,2690,ribovision,428,2600,520,913,3085,4123,1087,25,0,1
URS00002A0DCD,163,ribovision,4,162,21,2,160,3551,1009,0,0,0
URS00002A1548,2712,ribovision,2,2712,717,72,2810,3048,847,10,1,1
URS00002A2E83,1870,ribovision,1,1869,470,2,1869,1869,470,0,1,1
URS00002A7ED5,273,ribovision,2,272,65,547,816,1800,560,0,0,0
URS00002AFB6E,1277,ribovision,13,1090,268,1822,2915,2925,772,0,1,0
URS00002B4A34,152,ribovision,2,114,20,3,115,5227,1553,0,0,0
URS00002B62A5,812,ribovision,2,555,126,204,766,3551,1009,10,0,0
URS00002B6395,2733,ribovision,1,2732,682,212,3031,3551,1009,19,1,1
URS00002B7B2B,556,ribovision,71,556,106,2,487,3137,912,11,0,0
URS00002BB90B,2635,ribovision,1,2619,618,941,3573,4123,1087,10,0,1
URS00002C056E,132,ribovision,1,131,18,44,152,4123,1087,0,0,0
URS00002C371F,643,ribovision,2,364,103,222,581,3506,993,19,0,0
URS00002C821F,2963,ribovision,11,2820,742,161,3039,3048,847,16,1,1
URS00002CAABE,154,ribovision,1,154,26,1,154,3555,1065,0,0,0
URS00002CB0B3,1428,ribovision,1,1428,454,8,1408,1542,507,0,1,1
URS00002D3018,2897,ribovision,2,2897,880,4,2914,2922,891,12,1,1
URS00002D65EB,516,ribovision,2,446,116,1155,1596,3554,1065,0,0,0
URS00002D98B8,77,rfam,77,39,3,118,156,156,22,0,0,1
URS00002DC56B,158,ribovision,1,157,26,1,157,3555,1065,0,0,0
URS00002DE4AF,659,ribovision,340,659,172,1346,1690,5227,1553,2,0,0
URS00002E0074,784,ribovision,116,561,94,982,1377,2925,772,13,0,0
URS00002E3976,118,ribovision,1,79,21,36,114,4123,1087,0,0,0
URS00002E9D0C,2201,ribovision,5,2201,429,208,2355,4123,1087,18,0,0
URS00002EF79E,1856,ribovision,1,1856,487,178,2041,3506,993,30,1,1
URS00002F015E,570,ribovision,2,137,16,501,637,4123,1087,3,0,0
URS00002F420B,547,ribovision,1,547,159,35,571,1542,507,0,1,0
URS00002F4BC1,2631,ribovision,2,2568,630,353,2924,2925,772,5,1,1
URS00002F5A2D,1497,ribovision,1,1496,494,9,1509,1542,507,0,1,1
URS00002F72DC,1417,ribovision,15,1415,307,3,1383,1559,373,5,1,1
URS00002FA57D,109,ribovision,1,108,24,40,149,3506,993,0,0,0
URS00002FC759,739,ribovision,23,738,203,1157,1838,5227,1553,6,0,0
URS00002FFFB1,169,ribovision,3,163,26,1,160,3551,1009,0,0,0
URS0000300758,110,ribovision,1,109,24,39,149,3506,993,0,0,0
URS00003018FD,953,ribovision,398,951,166,782,1385,1559,373,1,1,0
URS000030198E,1399,ribovision,38,1399,336,989,2315,4123,1087,0,0,1
URS00003023DF,778,ribovision,9,775,144,164,872,1559,373,3,0,0
URS0000303EC5,3022,ribovision,1,3019,848,1,2889,2911,868,7,1,1
URS000030476A,901,ribovision,726,875,13,7,150,3120,899,2,0,0
URS000030E1B3,170,ribovision,2,158,33,1,157,3554,1065,0,0,0
URS000030E487,163,ribovision,1,134,25,27,159,3551,1009,0,0,0
URS000030EFE2,768,ribovision,235,605,172,678,1081,1559,373,6,0,0
URS0000312620,751,ribovision,1,545,127,897,1469,1559,373,3,0,0
URS0000312CCE,408,ribovision,288,407,9,2,121,2925,772,0,0,0
URS0000313D47,842,ribovision,6,580,141,872,1469,1559,373,2,0,0
URS0000313D99,1748,ribovision,1,1748,452,178,2041,3506,993,25,1,1
URS00003160FD,2663,ribovision,1,2662,720,212,3031,3551,1009,13,1,1
URS000031B310,2218,ribovision,2,2218,462,203,2330,4123,1087,36,0,0
URS000031BB9A,154,ribovision,18,153,17,1,135,3551,1009,0,0,0
URS000031F879,611,ribovision,483,608,16,9,134,3120,899,0,0,0
URS0000322A39,218,rfam,4,208,37,4,159,171,38,0,1,1
URS00003233AD,2132,ribovision,1,2132,431,232,2356,4123,1087,26,0,0
URS0000325723,421,ribovision,301,421,19,8,129,3120,899,0,0,0
URS000032615D,154,ribovision,1,154,26,1,154,3555,1065,0,0,0
URS000032706A,559,ribovision,13,492,138,242,812,3555,1065,8,0,0
URS000032F120,426,ribovision,1,418,84,925,1403,1559,373,1,0,0
URS000033047D,90,rfam,2,90,15,16,105,167,42,2,0,0
URS0000332F13,2986,ribovision,6,2943,842,4,2890,2911,868,11,1,1
URS0000336AB0,158,ribovision,1,158,26,1,158,3555,1065,0,0,0
URS0000336E43,150,ribovision,1,147,24,4,151,3506,993,0,0,0
URS000033C899,1128,ribovision,2,1127,293,2917,4037,4123,1087,8,1,1
URS000033D934,513,ribovision,18,512,112,866,1396,1559,373,1,0,0
URS00003436A6,162,ribovision,4,159,26,1,155,3555,1065,0,0,0
URS00003450E3,143,ribovision,5,120,26,2770,2902,2904,860,0,0,0
URS0000345DFD,1387,ribovision,1,1385,331,221,1681,2925,772,3,1,1
URS00003485B8,2755,ribovision,2,2751,705,162,2924,2925,772,3,1,1
URS000034BF30,526,ribovision,2,522,159,995,1514,1542,507,0,0,0
URS00003510D6,688,ribovision,2,688,188,147,815,1542,507,0,1,0
URS0000354462,344,ribovision,190,343,61,2461,2614,2922,891,0,0,0
URS00003553E8,164,ribovision,3,163,21,1,160,3551,1009,0,0,0
URS0000356957,622,ribovision,240,401,33,1,161,3551,1009,0,0,0
URS0000357362,179,ribovision,1,161,34,3,162,3551,1009,0,0,0
URS000035856A,508,ribovision,22,503,111,867,1380,1559,373,1,0,0
URS0000358F81,2541,ribovision,2,1468,686,45,1463,2904,860,3,1,1
URS00003591D1,2181,ribovision,2,2181,436,232,2318,4123,1087,37,0,0
URS000035D363,164,ribovision,7,164,26,1,158,3555,1065,0,0,0
URS000035DEE3,344,ribovision,190,343,61,2461,2614,2922,891,0,0,0
URS000036C4EE,604,ribovision,230,433,40,1,196,3551,1009,0,0,0
URS000036D4C3,110,ribovision,1,99,18,19,117,3506,993,0,0,0
URS000036DD51,2193,ribovision,2,2192,617,4,2187,2904,860,1,1,1
URS000036FEF6,333,ribovision,221,332,10,2,113,2925,772,0,0,0
URS0000371884,696,ribovision,342,694,112,1401,1770,5227,1553,6,0,0
URS000037287C,161,ribovision,2,97,34,66,161,3555,1065,0,0,0
URS0000378E05,2676,ribovision,1,2675,706,212,3031,3551,1009,11,1,1
URS000037E021,154,ribovision,1,153,21,1,150,4123,1087,0,0,0
URS000037E171,302,ribovision,176,301,16,3,129,3120,899,0,0,0
URS00003801F7,2180,ribovision,3,2180,449,212,2346,4123,1087,38,0,0
URS00003806DE,70,ribovision,1,70,9,1739,1808,1808,459,0,0,0
URS00003828C3,3052,ribovision,75,2972,713,2,2924,2925,772,3,1,1
URS0000386397,1146,ribovision,2,1145,280,2937,4040,4123,1087,8,0,0
URS0000388D82,454,ribovision,1,453,95,923,1399,1559,373,1,0,0
URS0000390C4C,823,ribovision,7,823,166,3,812,1559,373,3,0,0
URS0000391FE0,165,ribovision,4,164,21,1,160,3551,1009,0,0,0
URS00003936AE,426,ribovision,306,426,19,8,129,3120,899,0,0,0
URS0000394A9F,397,ribovision,1,257,72,821,1083,1559,373,1,0,0
URS000039DB66,164,ribovision,3,163,21,1,160,3551,1009,0,0,0
URS000039F198,398,ribovision,279,398,9,3,122,3120,899,0,0,0
URS00003A200A,1797,ribovision,3,1797,478,223,2041,3506,993,24,1,1
URS00003A4DDA,1845,ribovision,1,1845,474,178,2041,3506,993,34,1,1
URS00003A6D22,2903,ribovision,2,2903,858,4,2904,2904,860,1,1,1
URS00003AAA83,1912,ribovision,5,1912,475,163,2041,3506,993,34,1,1
URS00003ACFC1,299,rfam,1,296,101,1,297,301,120,0,1,1
URS00003B09AF,174,ribovision,3,160,27,2,158,3551,1009,0,0,0
URS00003B246D,164,ribovision,2,141,35,22,160,3551,1009,0,0,0
URS00003B3C33,155,ribovision,3,154,20,2,153,5227,1553,0,0,0
URS00003B5106,599,ribovision,174,329,35,2,157,3555,1065,0,0,0
URS00003B81E1,1824,ribovision,2,1410,433,185,1633,4123,1087,18,1,1
URS00003BB37E,107,ribovision,1,107,24,41,149,3506,993,0,0,0
URS00003CBCA5,1451,ribovision,4,1438,368,1465,2915,2925,772,1,1,1
URS00003CE6A9,1130,ribovision,2,1129,292,2917,4037,4123,1087,4,1,1
URS00003D07F3,2963,ribovision,7,2944,810,17,3029,3048,847,14,1,1
URS00003D1F94,621,ribovision,1,619,168,570,1162,4123,1087,5,0,0
URS00003DA46D,110,ribovision,2,109,15,51,153,4123,1087,0,0,0
URS00003DE7E7,879,ribovision,37,878,251,98,960,1542,507,0,1,1
URS00003E00D0,344,ribovision,190,343,61,2461,2614,2922,891,0,0,0
URS00003E25E3,153,ribovision,3,152,24,4,149,3506,993,0,0,0
URS00003E58BB,153,ribovision,2,152,24,4,150,3506,993,0,0,0
URS00003E6039,163,ribovision,3,163,21,1,160,3551,1009,0,0,0
URS00003E6F42,326,ribovision,223,325,4,13,116,3137,912,0,0,0
