#                                                                                              best-scoring model                                                          different domain's best-scoring model  
#                                                      --------------------------------------------------------------------------------------------------                  -------------------------------------  
#idx  target          p/f  length  #fm  fam  domain    model       strnd  #ht  tscore  bscore  s/nt   bevalue   tcov   bcov   bfrom     bto  mfrom    mto  scdiff  scd/nt  model       tscore  unexpected_features
#---  -------------  ----  ------  ---  ---  --------  ----------  -----  ---  ------  ------  ----  --------  -----  -----  ------  ------  -----  -----  ------  ------  ----------  ------  -------------------
23    URS000052C27F  FAIL     276    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
24    URS00006C8504  PASS     156    1  LSU  Bacteria  KL_LSU_3D   plus     1    78.6    78.6  0.50   2.3e-24  0.987  0.987       2     155      3    154       -       -  -                -  -
25    URS00002C92BC  PASS     478    1  LSU  Bacteria  KL_LSU_3D   plus     1   120.9   120.9  0.25     4e-37  0.354  0.354     168     336      1    171       -       -  -                -  LowScore:(0.25<0.50);LowCoverage:(0.354<0.860);
26    URS0000346596  PASS     470    1  LSU  Bacteria  KL_LSU_3D   plus     1   117.5   117.5  0.25   4.3e-36  0.360  0.360     173     341      1    170       -       -  -                -  LowScore:(0.25<0.50);LowCoverage:(0.360<0.860);
27    URS00006995E3  PASS     157    1  LSU  Bacteria  KL_LSU_3D   plus     1    74.2    74.2  0.47   4.9e-23  0.987  0.987       2     156      3    154       -       -  -                -  LowScore:(0.47<0.50);
28    URS00000FC8AF  PASS    1702    1  LSU  Bacteria  mHS_LSU_3D  plus     1   643.3   643.3  0.38  2.2e-194  0.970  0.970      49    1699     21   1556       -       -  -                -  LowScore:(0.38<0.50);
29    URS00006DABCB  FAIL     127    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
30    URS0000465FDA  PASS     154    1  LSU  Bacteria  KL_LSU_3D   plus     1    92.2    92.2  0.60   1.8e-28  0.994  0.994       1     153      2    154       -       -  -                -  -
31    URS00003C46D5  PASS     530    1  LSU  Bacteria  mHS_LSU_3D  plus     1   111.6   111.6  0.21   1.1e-33  0.945  0.945      28     528    873   1415       -       -  -                -  LowScore:(0.21<0.50);
32    URS0000A66029  PASS     680    1  LSU  Bacteria  SC_LSU_3D   plus     1    78.1    78.1  0.11   3.3e-24  0.229  0.229     265     420      2    157       -       -  -                -  LowScore:(0.11<0.50);LowCoverage:(0.229<0.860);
33    URS000028D480  FAIL     266    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
34    URS0000452528  FAIL     192    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
35    URS0000D9BD32  PASS    3285    1  LSU  Bacteria  SC_LSU_3D   plus     1  1630.0  1630.0  0.50         0  0.995  0.995       2    3270    163   3541       -       -  -                -  LowScore:(0.50<0.50);
36    URS000052EC7B  PASS     552    1  LSU  Bacteria  KL_LSU_3D   plus     1    78.8    78.8  0.14     2e-24  0.317  0.317     189     363      3    171       -       -  -                -  LowScore:(0.14<0.50);LowCoverage:(0.317<0.860);
37    URS00002DE642  PASS     598    1  LSU  Bacteria  KL_LSU_3D   plus     1   113.5   113.5  0.19   6.7e-35  0.261  0.261     265     420      2    157       -       -  -                -  LowScore:(0.19<0.50);LowCoverage:(0.261<0.860);
38    URS0000EDCAC2  PASS    2899    1  LSU  Bacteria  EC_LSU_3D   plus     1  1969.1  1969.1  0.68         0  0.990  0.990      10    2879      3   2902       -       -  -                -  -
39    URS00000E4C5B  PASS     155    1  LSU  Bacteria  KL_LSU_3D   plus     1   111.7   111.7  0.72   2.4e-34  0.994  0.994       1     154      2    155       -       -  -                -  -
40    URS0000D2C4B4  PASS      87    1  LSU  Bacteria  KL_LSU_3D   plus     1    21.6    21.6  0.25   3.5e-07  0.977  0.977       1      85     74    156       -       -  -                -  LowScore:(0.25<0.50);
41    URS00008019FF  PASS     513    1  LSU  Bacteria  mHS_LSU_3D  plus     1   109.8   109.8  0.21   3.8e-33  0.971  0.971      14     511    858   1389       -       -  -                -  LowScore:(0.21<0.50);
42    URS0000621494  PASS     248    1  LSU  Bacteria  KL_LSU_3D   plus     1    41.5    41.5  0.17   3.5e-13  0.395  0.395     149     246      3    100       -       -  -                -  LowScore:(0.17<0.50);LowCoverage:(0.395<0.860);
43    URS0000BC0B07  PASS     157    1  LSU  Bacteria  KL_LSU_3D   plus     1   110.2   110.2  0.70     7e-34  0.975  0.975       4     156      2    154       -       -  -                -  -
44    URS0000304245  PASS     749    1  LSU  Bacteria  HS_LSU_3D   plus     1    37.6    37.6  0.05   2.4e-12  0.199  0.199     386     534      6    157       -       -  -                -  LowScore:(0.05<0.50);LowCoverage:(0.199<0.860);
45    URS0000DC092F  FAIL    3358    1  LSU  Bacteria  EC_LSU_3D   plus     2  3363.3  1820.9  1.00         0  0.999  0.539       2    1811    552   2361       -       -  -                -  *DuplicateRegion:(1359-2361)_hits_1_and_2(M:552.2361,1359.2904,S:2.1811,1813.3358);MultipleHits:(2:SI[M:-1003(1359..2361),S:1(1812..1812)]);
46    URS0000C7D7DD  PASS    3915    1  LSU  Bacteria  HS_LSU_3D   plus     4  1487.8   893.8  0.38  2.1e-270  0.808  0.358    2501    3903   3318   4883       -       -  -                -  LowScore:(0.38<0.50);LowCoverage:(0.808<0.860);MultipleHits:(4:MD[M:207(225..431),S:0(64..65)],NH[M:143(918..1060),S:11(498..508)],NH[M:1045(2273..3317),S:729(1772..2500)]);
47    URS00001C0A11  PASS     306    1  LSU  Bacteria  mHS_LSU_3D  plus     2    58.7    35.5  0.19   1.1e-10  0.866  0.556     136     305   1212   1381       -       -  -                -  LowScore:(0.19<0.50);MultipleHits:(2:NH[M:195(1017..1211),S:39(97..135)]);
48    URS00000A193F  PASS     837    1  LSU  Bacteria  KL_LSU_3D   plus     1   112.5   112.5  0.13   1.3e-34  0.192  0.192     262     422      2    162       -       -  -                -  LowScore:(0.13<0.50);LowCoverage:(0.192<0.860);
49    URS00002321D8  PASS     665    1  LSU  Bacteria  HS_LSU_3D   plus     1   160.6   160.6  0.24   1.9e-49  0.471  0.471     353     665    154    473       -       -  -                -  LowScore:(0.24<0.50);LowCoverage:(0.471<0.860);
50    URS0000EC3439  PASS    1113    1  LSU  Bacteria  mHS_LSU_3D  minus    1   108.9   108.9  0.10   7.3e-33  0.242  0.242     424     156    794   1070       -       -  -                -  MinusStrand;LowScore:(0.10<0.50);LowCoverage:(0.242<0.860);
51    URS00005EF3DE  PASS     163    1  LSU  Bacteria  KL_LSU_3D   plus     1    73.8    73.8  0.45   6.4e-23  0.945  0.945       7     160      3    154       -       -  -                -  LowScore:(0.45<0.50);
52    URS000061D1D7  PASS     565    1  LSU  Bacteria  KL_LSU_3D   plus     2   133.0   115.4  0.24   1.9e-35  0.384  0.297     187     354      1    170       -       -  -                -  LowScore:(0.24<0.50);LowCoverage:(0.384<0.860);MultipleHits:(2:SI[M:-10(161..170),S:162(355..516)]);
53    URS000099452D  PASS    1343    1  LSU  Bacteria  mHS_LSU_3D  plus     1   538.0   538.0  0.40  1.4e-162  0.999  0.999       2    1342     73   1398       -       -  -                -  LowScore:(0.40<0.50);
54    URS0000AF4DA0  PASS    2932    1  LSU  Bacteria  EC_LSU_3D   plus     1  2947.0  2947.0  1.01         0  0.991  0.991      10    2914      1   2904       -       -  -                -  -
55    URS0000D8CA25  PASS    2891    1  LSU  Bacteria  EC_LSU_3D   plus     1  2208.7  2208.7  0.76         0  0.999  0.999       1    2889      1   2902       -       -  -                -  -
56    URS000038F14D  PASS     601    1  LSU  Bacteria  KL_LSU_3D   plus     1    75.0    75.0  0.12   2.7e-23  0.265  0.265     233     391      3    159       -       -  -                -  LowScore:(0.12<0.50);LowCoverage:(0.265<0.860);
57    URS0000EE3CC0  PASS    2247    1  LSU  Bacteria  BS_LSU_3D   plus     1  1962.1  1962.1  0.87         0  0.998  0.998       2    2244    687   2924       -       -  -                -  -
58    URS0000DCB630  PASS    2899    1  LSU  Bacteria  EC_LSU_3D   plus     1  2795.5  2795.5  0.96         0  1.000  1.000       2    2899      4   2903       -       -  -                -  -
59    URS0000750438  PASS     639    1  LSU  Bacteria  KL_LSU_3D   plus     1   116.0   116.0  0.18   1.2e-35  0.252  0.252     220     380      2    162       -       -  -                -  LowScore:(0.18<0.50);LowCoverage:(0.252<0.860);
60    URS0000C1560D  PASS    3137    1  LSU  Bacteria  MS_LSU_3D   plus     1  2822.8  2822.8  0.90         0  0.997  0.997       5    3132      2   3119       -       -  -                -  -
61    URS00001829DB  PASS     613    1  LSU  Bacteria  SC_LSU_3D   plus     1   115.4   115.4  0.19   1.9e-35  0.272  0.272     255     421      1    169       -       -  -                -  LowScore:(0.19<0.50);LowCoverage:(0.272<0.860);
62    URS00009F1508  PASS    2842    1  LSU  Bacteria  cSO_23S_3D  plus     1  2488.1  2488.1  0.88         0  0.999  0.999       2    2841      2   2807       -       -  -                -  -
63    URS000058B027  FAIL     235    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
64    URS00003DCC9A  PASS     424    1  LSU  Bacteria  mHS_LSU_3D  plus     1    67.3    67.3  0.16   2.6e-20  0.983  0.983       3     419    942   1385       -       -  -                -  LowScore:(0.16<0.50);
65    URS000004CF83  PASS     486    1  LSU  Bacteria  mHS_LSU_3D  plus     1    65.5    65.5  0.13   9.1e-20  0.481  0.481     146     379   1221   1454       -       -  -                -  LowScore:(0.13<0.50);LowCoverage:(0.481<0.860);
66    URS0000383296  PASS     227    1  LSU  Bacteria  KL_LSU_3D   plus     1    35.7    35.7  0.16     2e-11  0.357  0.357     147     227    144    218       -       -  -                -  LowScore:(0.16<0.50);LowCoverage:(0.357<0.860);
67    URS00007336B2  PASS     619    1  LSU  Bacteria  mHS_LSU_3D  plus     1   141.8   141.8  0.23   8.1e-43  0.901  0.901      28     585    872   1465       -       -  -                -  LowScore:(0.23<0.50);
68    URS00004DC6A2  PASS     331    1  LSU  Bacteria  KL_LSU_3D   plus     1   116.0   116.0  0.35   1.3e-35  0.483  0.483     139     298      1    160       -       -  -                -  LowScore:(0.35<0.50);LowCoverage:(0.483<0.860);
69    URS0000594829  PASS    1583    1  LSU  Bacteria  mHS_LSU_3D  plus     1   807.0   807.0  0.51  7.6e-244  0.997  0.997       4    1582      4   1558       -       -  -                -  -
70    URS00000AB873  PASS     513    1  LSU  Bacteria  KL_LSU_3D   plus     1   122.6   122.6  0.24   1.2e-37  0.308  0.308     195     352      1    158       -       -  -                -  LowScore:(0.24<0.50);LowCoverage:(0.308<0.860);
71    URS0000454BD1  PASS     290    1  LSU  Bacteria  KL_LSU_3D   plus     1    45.5    45.5  0.16   2.2e-14  0.345  0.345     190     289      1     96       -       -  -                -  LowScore:(0.16<0.50);LowCoverage:(0.345<0.860);
72    URS0000386652  FAIL     238    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
73    URS000070C175  PASS     154    1  LSU  Bacteria  KL_LSU_3D   plus     1   105.7   105.7  0.69   1.6e-32  0.994  0.994       1     153      2    154       -       -  -                -  -
74    URS00001643AC  PASS     543    1  LSU  Bacteria  KL_LSU_3D   plus     1   109.3   109.3  0.20   1.3e-33  0.313  0.313     175     344      2    173       -       -  -                -  LowScore:(0.20<0.50);LowCoverage:(0.313<0.860);
75    URS00005191A7  PASS     553    1  LSU  Bacteria  KL_LSU_3D   plus     2   121.6   108.7  0.22     2e-33  0.371  0.284     145     301      2    158       -       -  -                -  LowScore:(0.22<0.50);LowCoverage:(0.371<0.860);MultipleHits:(2:SI[M:1(159..159),S:204(302..505)]);
76    URS0000292E1E  PASS     300    1  LSU  Bacteria  KL_LSU_3D   plus     1    82.4    82.4  0.27   1.7e-25  0.390  0.390     184     300      2    118       -       -  -                -  LowScore:(0.27<0.50);LowCoverage:(0.390<0.860);
77    URS00009EFB1E  PASS     166    1  LSU  Bacteria  KL_LSU_3D   plus     1    72.9    72.9  0.44   1.2e-22  0.934  0.934       6     160      3    155       -       -  -                -  LowScore:(0.44<0.50);
78    URS00005CFC8B  PASS    2110    1  LSU  Bacteria  KL_LSU_3D   plus     1  1388.7  1388.7  0.66         0  0.999  0.999       2    2109    233   2310       -       -  -                -  -
79    URS0000B4D751  PASS    2770    1  LSU  Bacteria  EC_LSU_3D   plus     1  2671.3  2671.3  0.96         0  0.995  0.995       2    2758    146   2904       -       -  -                -  -
80    URS00003E06A9  FAIL     224    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
81    URS000015375A  PASS    2136    1  LSU  Bacteria  KL_LSU_3D   plus     1  1401.8  1401.8  0.66         0  1.000  1.000       1    2136    205   2318       -       -  -                -  -
82    URS00003915CD  PASS     458    1  LSU  Bacteria  KL_LSU_3D   plus     1   117.6   117.6  0.26     4e-36  0.349  0.349     137     296      1    160       -       -  -                -  LowScore:(0.26<0.50);LowCoverage:(0.349<0.860);
83    URS000044D694  FAIL     266    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
84    URS00003A71C1  FAIL     364    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
85    URS0000360D6A  FAIL     189    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
86    URS0000E33F12  PASS    2360    1  LSU  Bacteria  EC_LSU_3D   plus     1  2298.5  2298.5  0.97         0  0.994  0.994       2    2348    559   2904       -       -  -                -  -
87    URS00004396EA  PASS     283    1  LSU  Bacteria  mHS_LSU_3D  plus     1    59.2    59.2  0.21   7.6e-18  0.664  0.664      96     283   1216   1404       -       -  -                -  LowScore:(0.21<0.50);LowCoverage:(0.664<0.860);
88    URS000074D1FC  PASS     465    1  LSU  Bacteria  KL_LSU_3D   plus     1   121.0   121.0  0.26   3.7e-37  0.381  0.381     163     339      1    178       -       -  -                -  LowScore:(0.26<0.50);LowCoverage:(0.381<0.860);
89    URS0000C5FF65  PASS    2892    1  LSU  Bacteria  EC_LSU_3D   plus     1  2197.9  2197.9  0.76         0  0.999  0.999       2    2890      2   2902       -       -  -                -  -
90    URS0000117E46  PASS    1390    1  LSU  Bacteria  mHS_LSU_3D  plus     1   483.4   483.4  0.35  4.6e-146  0.997  0.997       5    1390      4   1351       -       -  -                -  LowScore:(0.35<0.50);
91    URS000018DC25  PASS     595    1  LSU  Bacteria  KL_LSU_3D   plus     1   111.4   111.4  0.19     3e-34  0.271  0.271     186     346      1    161       -       -  -                -  LowScore:(0.19<0.50);LowCoverage:(0.271<0.860);
92    URS0000762522  PASS     518    1  LSU  Bacteria  SC_LSU_3D   plus     1   118.0   118.0  0.23     3e-36  0.346  0.346     185     363      1    182       -       -  -                -  LowScore:(0.23<0.50);LowCoverage:(0.346<0.860);
93    URS000047AF88  PASS     265    1  LSU  Bacteria  KL_LSU_3D   plus     1    31.6    31.6  0.12   3.5e-10  0.294  0.294     188     265    151    218       -       -  -                -  LowScore:(0.12<0.50);LowCoverage:(0.294<0.860);
94    URS000005E66D  PASS     452    1  LSU  Bacteria  KL_LSU_3D   plus     1   123.2   123.2  0.27   8.2e-38  0.385  0.385     147     320      1    176       -       -  -                -  LowScore:(0.27<0.50);LowCoverage:(0.385<0.860);
95    URS0000E23A91  PASS    2946    1  LSU  Bacteria  BS_LSU_3D   plus     1  1463.4  1463.4  0.50         0  0.992  0.992       9    2929      4   2914       -       -  -                -  LowScore:(0.50<0.50);
96    URS0000B1B36E  PASS     155    1  LSU  Bacteria  KL_LSU_3D   plus     1    32.8    32.8  0.21   1.5e-10  0.677  0.677       6     110      7    112       -       -  -                -  LowScore:(0.21<0.50);LowCoverage:(0.677<0.860);
97    URS0000901414  PASS    1320    1  LSU  Bacteria  mHS_LSU_3D  plus     1   518.0   518.0  0.39  1.6e-156  0.998  0.998       2    1318    116   1386       -       -  -                -  LowScore:(0.39<0.50);
98    URS00008CFE1C  PASS    2235    1  LSU  Bacteria  EC_LSU_3D   plus     1  2195.5  2195.5  0.98         0  0.999  0.999       2    2234    555   2785       -       -  -                -  -
99    URS0000CEB151  PASS     499    1  LSU  Bacteria  mHS_LSU_3D  plus     1   113.3   113.3  0.23   3.4e-34  0.944  0.944      27     497    889   1389       -       -  -                -  LowScore:(0.23<0.50);
100   URS00007A9F9C  PASS     493    1  LSU  Bacteria  KL_LSU_3D   plus     1   123.2   123.2  0.25     8e-38  0.320  0.320     152     309      1    158       -       -  -                -  LowScore:(0.25<0.50);LowCoverage:(0.320<0.860);
101   URS000030701F  FAIL     268    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
102   URS0000668EE7  PASS     155    1  LSU  Bacteria  KL_LSU_3D   plus     1   102.2   102.2  0.66   1.8e-31  0.994  0.994       1     154      2    154       -       -  -                -  -
103   URS0000DA3D8D  PASS    3221    1  LSU  Bacteria  SC_LSU_3D   plus     1  1878.1  1878.1  0.58         0  0.995  0.995       5    3208    324   3543       -       -  -                -  -
104   URS0000ADD181  PASS    2931    1  LSU  Bacteria  EC_LSU_3D   plus     1  2776.0  2776.0  0.95         0  0.991  0.991      10    2913      1   2904       -       -  -                -  -
105   URS00009F0F07  PASS    2061    1  LSU  Bacteria  HS_LSU_3D   plus     2   807.3   585.3  0.39    2e-177  0.710  0.450     582    1509   1293   2266       -       -  -                -  LowScore:(0.39<0.50);LowCoverage:(0.710<0.860);MultipleHits:(2:NH[M:484(809..1292),S:45(537..581)]);
106   URS0000DD2A21  PASS    2815    1  LSU  Bacteria  SA_LSU_3D   plus     1  1551.0  1551.0  0.55         0  0.996  0.996       8    2810      9   2918       -       -  -                -  -
107   URS0000C41CED  PASS    3356    1  LSU  Bacteria  SC_LSU_3D   plus     1  1928.9  1928.9  0.57         0  0.997  0.997       2    3348    163   3547       -       -  -                -  -
108   URS00000154B3  FAIL     285    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
109   URS0000243B23  FAIL     235    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
110   URS0000B06E37  PASS     598    1  LSU  Bacteria  KL_LSU_3D   plus     1   110.3   110.3  0.18   6.6e-34  0.283  0.283     227     395      1    171       -       -  -                -  LowScore:(0.18<0.50);LowCoverage:(0.283<0.860);
111   URS0000EDF202  PASS    2928    1  LSU  Bacteria  EC_LSU_3D   plus     1  2787.9  2787.9  0.95         0  0.993  0.993      10    2916      1   2904       -       -  -                -  -
112   URS00003EC553  PASS    2902    1  LSU  Bacteria  EC_LSU_3D   plus     1  2893.3  2893.3  1.00         0  1.000  1.000       2    2902      4   2904       -       -  -                -  -
113   URS0000396065  PASS     249    1  LSU  Bacteria  KL_LSU_3D   plus     1    49.4    49.4  0.20   1.5e-15  0.406  0.406       2     102     76    180       -       -  -                -  LowScore:(0.20<0.50);LowCoverage:(0.406<0.860);
114   URS0000204AE9  PASS     154    1  LSU  Bacteria  KL_LSU_3D   plus     1   114.8   114.8  0.75   2.8e-35  0.994  0.994       1     153      2    154       -       -  -                -  -
115   URS00007CDAB5  PASS     670    1  LSU  Bacteria  SC_LSU_3D   plus     1    77.3    77.3  0.12   5.6e-24  0.236  0.236     218     375      3    158       -       -  -                -  LowScore:(0.12<0.50);LowCoverage:(0.236<0.860);
116   URS0000EDBE58  PASS     162    1  LSU  Bacteria  KL_LSU_3D   plus     1    71.5    71.5  0.44   3.2e-22  0.951  0.951       4     157      2    153       -       -  -                -  LowScore:(0.44<0.50);
117   URS000009610F  PASS     163    1  LSU  Bacteria  KL_LSU_3D   plus     1    72.5    72.5  0.44   1.6e-22  0.951  0.951       6     160      3    155       -       -  -                -  LowScore:(0.44<0.50);
118   URS00002B1BDD  FAIL     260    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
119   URS0000376201  PASS     561    1  LSU  Bacteria  SC_LSU_3D   plus     1    76.5    76.5  0.14   9.8e-24  0.276  0.276     202     356      3    156       -       -  -                -  LowScore:(0.14<0.50);LowCoverage:(0.276<0.860);
120   URS0000EE8755  PASS    2899    1  LSU  Bacteria  EC_LSU_3D   plus     1  2128.1  2128.1  0.73         0  0.992  0.992       9    2883      2   2902       -       -  -                -  -
121   URS000071F4ED  PASS     154    1  LSU  Bacteria  KL_LSU_3D   plus     1   115.6   115.6  0.75   1.6e-35  0.987  0.987       1     152      2    153       -       -  -                -  -
122   URS00006E672D  PASS     109    1  LSU  Bacteria  KL_LSU_3D   plus     1    69.1    69.1  0.63   1.7e-21  0.982  0.982       2     108     48    154       -       -  -                -  -
123   URS00005FED3A  PASS     146    1  LSU  Bacteria  KL_LSU_3D   plus     1   101.0   101.0  0.69   4.2e-31  0.993  0.993       1     145      2    145       -       -  -                -  -
124   URS0000577D97  FAIL     534    1  LSU  Bacteria  KL_LSU_3D   plus     2   139.2   118.9  0.26   1.6e-36  0.442  0.328     163     337      1    177       -       -  -                -  *DuplicateRegion:(156-177)_hits_1_and_2(M:1.177,156.216,S:163.337,474.534);LowScore:(0.26<0.50);LowCoverage:(0.442<0.860);MultipleHits:(2:SI[M:-22(156..177),S:136(338..473)]);
125   URS00008D1822  PASS    3015    1  LSU  Bacteria  cSO_23S_3D  plus     2  2828.1  2757.4  0.94         0  0.967  0.932       2    2811      3   2811       -       -  -                -  MultipleHits:(2:SI[M:-3(2809..2811),S:97(2812..2908)]);
126   URS00008F5F80  PASS    3508    1  LSU  Bacteria  HS_LSU_3D   plus     4  1745.3   767.1  0.50  3.3e-232  0.853  0.319    2389    3507   3729   4832       -       -  -                -  LowScore:(0.50<0.50);LowCoverage:(0.853<0.860);MultipleHits:(4:NH[M:811(631..1441),S:381(403..783)],NH[M:177(2243..2419),S:14(1559..1572)],NH[M:614(3115..3728),S:116(2273..2388)]);
127   URS0000B1F4A1  PASS    2351    1  LSU  Bacteria  EC_LSU_3D   plus     1  1844.1  1844.1  0.78         0  0.998  0.998       2    2348    553   2902       -       -  -                -  -
128   URS0000494D9E  FAIL     261    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
129   URS00003F5097  PASS     559    1  LSU  Bacteria  SC_LSU_3D   plus     1   113.7   113.7  0.20     6e-35  0.311  0.311     216     389      1    176       -       -  -                -  LowScore:(0.20<0.50);LowCoverage:(0.311<0.860);
