Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
miRBase	MI0000145	mmu-mir-30b	sequence	LM608228	
miRBase	MI0000146	mmu-mir-99a	sequence	LM608229	
miRBase	MI0000147	mmu-mir-99b	sequence	LM608230	
miRBase	MI0000148	mmu-mir-101a	sequence	LM608231	
miRBase	MI0000150	mmu-mir-124-3	sequence	LM608232	
miRBase	MI0000151	mmu-mir-125a	sequence	LM608233	
miRBase	MI0000152	mmu-mir-125b-2	sequence	LM608234	
miRBase	MI0000153	mmu-mir-126a	sequence	LM608235	
miRBase	MI0000154	mmu-mir-127	sequence	LM608236	
miRBase	MI0000155	mmu-mir-128-1	sequence	LM608237	
miRBase	MI0000156	mmu-mir-130a	sequence	LM608238	
miRBase	MI0000157	mmu-mir-9-2	sequence	LM608239	
miRBase	MI0000158	mmu-mir-132	sequence	LM608240	
miRBase	MI0000159	mmu-mir-133a-1	sequence	LM608241	
miRBase	MI0000160	mmu-mir-134	sequence	LM608242	
miRBase	MI0000161	mmu-mir-135a-1	sequence	LM608243	
miRBase	MI0000162	mmu-mir-136	sequence	LM608244	
miRBase	MI0000163	mmu-mir-137	sequence	LM608245	
miRBase	MI0000164	mmu-mir-138-2	sequence	LM608246	
miRBase	MI0000165	mmu-mir-140	sequence	LM608247	
miRBase	MI0000166	mmu-mir-141	sequence	LM608248	
miRBase	MI0000167	mmu-mir-142a	sequence	LM608249	
miRBase	MI0000168	mmu-mir-144	sequence	LM608250	
miRBase	MI0000169	mmu-mir-145a	sequence	LM608251	
miRBase	MI0000170	mmu-mir-146a	sequence	LM608252	
miRBase	MI0000171	mmu-mir-149	sequence	LM608253	
miRBase	MI0000172	mmu-mir-150	sequence	LM608254	
miRBase	MI0000173	mmu-mir-151	sequence	LM608255	
miRBase	MI0000174	mmu-mir-152	sequence	LM608256	
miRBase	MI0000175	mmu-mir-153	sequence	LM608257	
miRBase	MI0000176	mmu-mir-154	sequence	LM608258	
miRBase	MI0000177	mmu-mir-155	sequence	LM608259	
miRBase	MI0000178	ath-MIR156a	sequence	LM608260	
miRBase	MI0000179	ath-MIR156b	sequence	LM608261	
miRBase	MI0000180	ath-MIR156c	sequence	LM608262	
miRBase	MI0000181	ath-MIR156d	sequence	LM608263	
miRBase	MI0000182	ath-MIR156e	sequence	LM608264	
miRBase	MI0000183	ath-MIR156f	sequence	LM608265	
miRBase	MI0000184	ath-MIR157a	sequence	LM608266	
miRBase	MI0000185	ath-MIR157b	sequence	LM608267	
miRBase	MI0000186	ath-MIR157c	sequence	LM608268	
miRBase	MI0000187	ath-MIR157d	sequence	LM608269	
miRBase	MI0000188	ath-MIR158a	sequence	LM608270	
miRBase	MI0000189	ath-MIR159a	sequence	LM608271	
miRBase	MI0000190	ath-MIR160a	sequence	LM608272	
miRBase	MI0000191	ath-MIR160b	sequence	LM608273	
miRBase	MI0000192	ath-MIR160c	sequence	LM608274	
miRBase	MI0000193	ath-MIR161	sequence	LM608275	
miRBase	MI0000194	ath-MIR162a	sequence	LM608276	
miRBase	MI0000195	ath-MIR162b	sequence	LM608277	
miRBase	MI0000196	ath-MIR163	sequence	LM608278	
miRBase	MI0000197	ath-MIR164a	sequence	LM608279	
miRBase	MI0000198	ath-MIR164b	sequence	LM608280	
miRBase	MI0000199	ath-MIR165a	sequence	LM608281	
miRBase	MI0000200	ath-MIR165b	sequence	LM608282	
miRBase	MI0000201	ath-MIR166a	sequence	LM608283	
miRBase	MI0000202	ath-MIR166b	sequence	LM608284	
miRBase	MI0000203	ath-MIR166c	sequence	LM608285	
miRBase	MI0000204	ath-MIR166d	sequence	LM608286	
miRBase	MI0000205	ath-MIR166e	sequence	LM608287	
miRBase	MI0000206	ath-MIR166f	sequence	LM608288	
miRBase	MI0000207	ath-MIR166g	sequence	LM608289	
miRBase	MI0000208	ath-MIR167a	sequence	LM608290	
miRBase	MI0000209	ath-MIR167b	sequence	LM608291	
miRBase	MI0000210	ath-MIR168a	sequence	LM608292	
miRBase	MI0000211	ath-MIR168b	sequence	LM608293	
miRBase	MI0000212	ath-MIR169a	sequence	LM608294	
miRBase	MI0000213	ath-MIR170	sequence	LM608295	
miRBase	MI0000214	ath-MIR171a	sequence	LM608296	
miRBase	MI0000215	ath-MIR172a	sequence	LM608297	
miRBase	MI0000216	ath-MIR172b	sequence	LM608298	
miRBase	MI0000217	ath-MIR173	sequence	LM608299	
miRBase	MI0000218	ath-MIR159b	sequence	LM608300	
miRBase	MI0000221	mmu-mir-10b	sequence	LM608301	
miRBase	MI0000222	mmu-mir-129-1	sequence	LM608302	
miRBase	MI0000223	mmu-mir-181a-2	sequence	LM608303	
miRBase	MI0000224	mmu-mir-182	sequence	LM608304	
miRBase	MI0000225	mmu-mir-183	sequence	LM608305	
miRBase	MI0000226	mmu-mir-184	sequence	LM608306	
miRBase	MI0000227	mmu-mir-185	sequence	LM608307	
miRBase	MI0000228	mmu-mir-186	sequence	LM608308	
miRBase	MI0000229	mmu-mir-187	sequence	LM608309	
miRBase	MI0000230	mmu-mir-188	sequence	LM608310	
miRBase	MI0000231	mmu-mir-24-1	sequence	LM608311	
miRBase	MI0000232	mmu-mir-190a	sequence	LM608312	
miRBase	MI0000233	mmu-mir-191	sequence	LM608313	
miRBase	MI0000234	hsa-mir-192	sequence	LM608314	
miRBase	MI0000235	mmu-mir-193a	sequence	LM608315	
miRBase	MI0000236	mmu-mir-194-1	sequence	LM608316	
miRBase	MI0000237	mmu-mir-195a	sequence	LM608317	
miRBase	MI0000238	hsa-mir-196a-1	sequence	LM608318	
miRBase	MI0000239	hsa-mir-197	sequence	LM608319	
miRBase	MI0000241	mmu-mir-199a-1	sequence	LM608320	
miRBase	MI0000242	hsa-mir-199a-1	sequence	LM608321	
miRBase	MI0000243	mmu-mir-200b	sequence	LM608322	
miRBase	MI0000244	mmu-mir-201	sequence	LM608323	
miRBase	MI0000245	mmu-mir-202	sequence	LM608324	
miRBase	MI0000246	mmu-mir-203	sequence	LM608325	
miRBase	MI0000247	mmu-mir-204	sequence	LM608326	
miRBase	MI0000248	mmu-mir-205	sequence	LM608327	
miRBase	MI0000249	mmu-mir-206	sequence	LM608328	
miRBase	MI0000252	hsa-mir-129-1	sequence	LM608329	
miRBase	MI0000253	hsa-mir-148a	sequence	LM608330	
miRBase	MI0000254	hsa-mir-30c-2	sequence	LM608331	
miRBase	MI0000255	hsa-mir-30d	sequence	LM608332	
miRBase	MI0000256	mmu-mir-122	sequence	LM608333	
miRBase	MI0000257	mmu-mir-143	sequence	LM608334	
miRBase	MI0000259	mmu-mir-30e	sequence	LM608335	
miRBase	MI0000261	hsa-mir-139	sequence	LM608336	
miRBase	MI0000263	hsa-mir-7-1	sequence	LM608337	
miRBase	MI0000264	hsa-mir-7-2	sequence	LM608338	
miRBase	MI0000265	hsa-mir-7-3	sequence	LM608339	
miRBase	MI0000266	hsa-mir-10a	sequence	LM608340	
miRBase	MI0000267	hsa-mir-10b	sequence	LM608341	
miRBase	MI0000268	hsa-mir-34a	sequence	LM608342	
miRBase	MI0000269	hsa-mir-181a-2	sequence	LM608343	
miRBase	MI0000270	hsa-mir-181b-1	sequence	LM608344	
miRBase	MI0000271	hsa-mir-181c	sequence	LM608345	
miRBase	MI0000272	hsa-mir-182	sequence	LM608346	
miRBase	MI0000273	hsa-mir-183	sequence	LM608347	
miRBase	MI0000274	hsa-mir-187	sequence	LM608348	
miRBase	MI0000279	hsa-mir-196a-2	sequence	LM608349	
miRBase	MI0000281	hsa-mir-199a-2	sequence	LM608350	
miRBase	MI0000282	hsa-mir-199b	sequence	LM608351	
miRBase	MI0000283	hsa-mir-203a	sequence	LM608352	
miRBase	MI0000284	hsa-mir-204	sequence	LM608353	
miRBase	MI0000285	hsa-mir-205	sequence	LM608354	
miRBase	MI0000286	hsa-mir-210	sequence	LM608355	
miRBase	MI0000287	hsa-mir-211	sequence	LM608356	
miRBase	MI0000288	hsa-mir-212	sequence	LM608357	
miRBase	MI0000289	hsa-mir-181a-1	sequence	LM608358	
miRBase	MI0000290	hsa-mir-214	sequence	LM608359	
miRBase	MI0000291	hsa-mir-215	sequence	LM608360	
miRBase	MI0000292	hsa-mir-216a	sequence	LM608361	
miRBase	MI0000293	hsa-mir-217	sequence	LM608362	
miRBase	MI0000294	hsa-mir-218-1	sequence	LM608363	
miRBase	MI0000295	hsa-mir-218-2	sequence	LM608364	
miRBase	MI0000296	hsa-mir-219a-1	sequence	LM608365	
miRBase	MI0000298	hsa-mir-221	sequence	LM608366	
miRBase	MI0000299	hsa-mir-222	sequence	LM608367	
miRBase	MI0000300	hsa-mir-223	sequence	LM608368	
miRBase	MI0000301	hsa-mir-224	sequence	LM608369	
miRBase	MI0000302	cel-mir-124	sequence	LM608370	
miRBase	MI0000303	cel-mir-228	sequence	LM608371	
miRBase	MI0000304	cel-mir-229	sequence	LM608372	
miRBase	MI0000305	cel-mir-230	sequence	LM608373	
miRBase	MI0000306	cel-mir-231	sequence	LM608374	
miRBase	MI0000307	cel-mir-232	sequence	LM608375	
miRBase	MI0000308	cel-mir-233	sequence	LM608376	
miRBase	MI0000309	cel-mir-234	sequence	LM608377	
miRBase	MI0000310	cel-mir-235	sequence	LM608378	
miRBase	MI0000311	cel-mir-236	sequence	LM608379	
miRBase	MI0000312	cel-mir-237	sequence	LM608380	
miRBase	MI0000313	cel-mir-238	sequence	LM608381	
miRBase	MI0000314	cel-mir-239a	sequence	LM608382	
miRBase	MI0000315	cel-mir-239b	sequence	LM608383	
miRBase	MI0000316	cel-mir-240	sequence	LM608384	
miRBase	MI0000317	cel-mir-241	sequence	LM608385	
miRBase	MI0000318	cel-mir-242	sequence	LM608386	
miRBase	MI0000319	cel-mir-243	sequence	LM608387	
miRBase	MI0000320	cel-mir-244	sequence	LM608388	
miRBase	MI0000321	cel-mir-245	sequence	LM608389	
miRBase	MI0000322	cel-mir-246	sequence	LM608390	
miRBase	MI0000323	cel-mir-247	sequence	LM608391	
miRBase	MI0000324	cel-mir-248	sequence	LM608392	
miRBase	MI0000325	cel-mir-249	sequence	LM608393	
miRBase	MI0000326	cel-mir-250	sequence	LM608394	
miRBase	MI0000327	cel-mir-251	sequence	LM608395	
miRBase	MI0000328	cel-mir-252	sequence	LM608396	
miRBase	MI0000329	cel-mir-253	sequence	LM608397	
miRBase	MI0000330	cel-mir-254	sequence	LM608398	
miRBase	MI0000331	cel-mir-255	sequence	LM608399	
miRBase	MI0000336	cel-mir-259	sequence	LM608400	
miRBase	MI0000342	hsa-mir-200b	sequence	LM608401	
miRBase	MI0000343	dme-mir-263a	sequence	LM608402	
miRBase	MI0000354	dme-mir-184	sequence	LM608403	
miRBase	MI0000355	dme-mir-274	sequence	LM608404	
miRBase	MI0000356	dme-mir-275	sequence	LM608405	
miRBase	MI0000357	dme-mir-92a	sequence	LM608406	
miRBase	MI0000358	dme-mir-219	sequence	LM608407	
miRBase	MI0000359	dme-mir-276a	sequence	LM608408	
miRBase	MI0000360	dme-mir-277	sequence	LM608409	
miRBase	MI0000361	dme-mir-278	sequence	LM608410	
miRBase	MI0000362	dme-mir-133	sequence	LM608411	
miRBase	MI0000363	dme-mir-279	sequence	LM608412	
miRBase	MI0000364	dme-mir-33	sequence	LM608413	
miRBase	MI0000366	dme-mir-281-1	sequence	LM608414	
miRBase	MI0000367	dme-mir-282	sequence	LM608415	
miRBase	MI0000368	dme-mir-283	sequence	LM608416	
miRBase	MI0000369	dme-mir-284	sequence	LM608417	
miRBase	MI0000370	dme-mir-281-2	sequence	LM608418	
miRBase	MI0000371	dme-mir-34	sequence	LM608419	
miRBase	MI0000373	dme-mir-124	sequence	LM608420	
miRBase	MI0000374	dme-mir-79	sequence	LM608421	
miRBase	MI0000375	dme-mir-276b	sequence	LM608422	
miRBase	MI0000376	dme-mir-210	sequence	LM608423	
miRBase	MI0000377	dme-mir-285	sequence	LM608424	
miRBase	MI0000378	dme-mir-100	sequence	LM608425	
miRBase	MI0000379	dme-mir-92b	sequence	LM608426	
miRBase	MI0000380	dme-mir-286	sequence	LM608427	
miRBase	MI0000382	dme-mir-87	sequence	LM608428	
miRBase	MI0000383	dme-mir-263b	sequence	LM608429	
miRBase	MI0000387	dme-bantam	sequence	LM608430	
miRBase	MI0000388	mmu-mir-290a	sequence	LM608431	
miRBase	MI0000389	mmu-mir-291a	sequence	LM608432	
miRBase	MI0000390	mmu-mir-292a	sequence	LM608433	
miRBase	MI0000391	mmu-mir-293	sequence	LM608434	
miRBase	MI0000392	mmu-mir-294	sequence	LM608435	
miRBase	MI0000393	mmu-mir-295	sequence	LM608436	
miRBase	MI0000394	mmu-mir-296	sequence	LM608437	
miRBase	MI0000395	mmu-mir-297a-1	sequence	LM608438	
miRBase	MI0000397	mmu-mir-297a-2	sequence	LM608439	
miRBase	MI0000398	mmu-mir-298	sequence	LM608440	
miRBase	MI0000399	mmu-mir-299a	sequence	LM608441	
miRBase	MI0000400	mmu-mir-300	sequence	LM608442	
miRBase	MI0000401	mmu-mir-301a	sequence	LM608443	
miRBase	MI0000402	mmu-mir-302a	sequence	LM608444	
miRBase	MI0000403	mmu-mir-34c	sequence	LM608445	
miRBase	MI0000404	mmu-mir-34b	sequence	LM608446	
miRBase	MI0000405	mmu-let-7d	sequence	LM608447	
miRBase	MI0000406	mmu-mir-106a	sequence	LM608448	
miRBase	MI0000407	mmu-mir-106b	sequence	LM608449	
miRBase	MI0000408	mmu-mir-130b	sequence	LM608450	
miRBase	MI0000409	dme-mir-303	sequence	LM608451	
miRBase	MI0000410	dme-mir-31b	sequence	LM608452	
miRBase	MI0000411	dme-mir-304	sequence	LM608453	
miRBase	MI0000412	dme-mir-305	sequence	LM608454	
miRBase	MI0000413	dme-mir-9c	sequence	LM608455	
miRBase	MI0000414	dme-mir-306	sequence	LM608456	
miRBase	MI0000415	dme-mir-9b	sequence	LM608457	
miRBase	MI0000416	dme-let-7	sequence	LM608458	
miRBase	MI0000417	dme-mir-125	sequence	LM608459	
miRBase	MI0000418	dme-mir-307a	sequence	LM608460	
miRBase	MI0000419	dme-mir-308	sequence	LM608461	
miRBase	MI0000420	dme-mir-31a	sequence	LM608462	
miRBase	MI0000421	dme-mir-309	sequence	LM608463	
miRBase	MI0000422	dme-mir-310	sequence	LM608464	
miRBase	MI0000423	dme-mir-311	sequence	LM608465	
miRBase	MI0000424	dme-mir-312	sequence	LM608466	
miRBase	MI0000425	dme-mir-313	sequence	LM608467	
miRBase	MI0000426	dme-mir-314	sequence	LM608468	
miRBase	MI0000427	dme-mir-315	sequence	LM608469	
miRBase	MI0000428	dme-mir-316	sequence	LM608470	
miRBase	MI0000429	dme-mir-317	sequence	LM608471	
miRBase	MI0000430	dme-mir-318	sequence	LM608472	
miRBase	MI0000431	dme-mir-2c	sequence	LM608473	
miRBase	MI0000432	dme-mir-iab-4	sequence	LM608474	
miRBase	MI0000433	hsa-let-7g	sequence	LM608475	
miRBase	MI0000434	hsa-let-7i	sequence	LM608476	
miRBase	MI0000437	hsa-mir-1-2	sequence	LM608477	
miRBase	MI0000438	hsa-mir-15b	sequence	LM608478	
miRBase	MI0000439	hsa-mir-23b	sequence	LM608479	
miRBase	MI0000440	hsa-mir-27b	sequence	LM608480	
miRBase	MI0000441	hsa-mir-30b	sequence	LM608481	
miRBase	MI0000442	hsa-mir-122	sequence	LM608482	
miRBase	MI0000443	hsa-mir-124-1	sequence	LM608483	
miRBase	MI0000444	hsa-mir-124-2	sequence	LM608484	
miRBase	MI0000445	hsa-mir-124-3	sequence	LM608485	
miRBase	MI0000446	hsa-mir-125b-1	sequence	LM608486	
miRBase	MI0000447	hsa-mir-128-1	sequence	LM608487	
miRBase	MI0000448	hsa-mir-130a	sequence	LM608488	
miRBase	MI0000449	hsa-mir-132	sequence	LM608489	
miRBase	MI0000450	hsa-mir-133a-1	sequence	LM608490	
miRBase	MI0000451	hsa-mir-133a-2	sequence	LM608491	
miRBase	MI0000452	hsa-mir-135a-1	sequence	LM608492	
miRBase	MI0000453	hsa-mir-135a-2	sequence	LM608493	
miRBase	MI0000454	hsa-mir-137	sequence	LM608494	
miRBase	MI0000455	hsa-mir-138-2	sequence	LM608495	
miRBase	MI0000456	hsa-mir-140	sequence	LM608496	
miRBase	MI0000457	hsa-mir-141	sequence	LM608497	
miRBase	MI0000458	hsa-mir-142	sequence	LM608498	
miRBase	MI0000459	hsa-mir-143	sequence	LM608499	
miRBase	MI0000460	hsa-mir-144	sequence	LM608500	
miRBase	MI0000461	hsa-mir-145	sequence	LM608501	
miRBase	MI0000462	hsa-mir-152	sequence	LM608502	
miRBase	MI0000463	hsa-mir-153-1	sequence	LM608503	
miRBase	MI0000464	hsa-mir-153-2	sequence	LM608504	
miRBase	MI0000465	hsa-mir-191	sequence	LM608505	
miRBase	MI0000466	hsa-mir-9-1	sequence	LM608506	
miRBase	MI0000467	hsa-mir-9-2	sequence	LM608507	
miRBase	MI0000468	hsa-mir-9-3	sequence	LM608508	
miRBase	MI0000469	hsa-mir-125a	sequence	LM608509	
miRBase	MI0000470	hsa-mir-125b-2	sequence	LM608510	
miRBase	MI0000471	hsa-mir-126	sequence	LM608511	
miRBase	MI0000472	hsa-mir-127	sequence	LM608512	
miRBase	MI0000473	hsa-mir-129-2	sequence	LM608513	
miRBase	MI0000474	hsa-mir-134	sequence	LM608514	
miRBase	MI0000475	hsa-mir-136	sequence	LM608515	
miRBase	MI0000476	hsa-mir-138-1	sequence	LM608516	
miRBase	MI0000477	hsa-mir-146a	sequence	LM608517	
miRBase	MI0000478	hsa-mir-149	sequence	LM608518	
miRBase	MI0000479	hsa-mir-150	sequence	LM608519	
miRBase	MI0000480	hsa-mir-154	sequence	LM608520	
miRBase	MI0000481	hsa-mir-184	sequence	LM608521	
miRBase	MI0000482	hsa-mir-185	sequence	LM608522	
miRBase	MI0000483	hsa-mir-186	sequence	LM608523	
miRBase	MI0000484	hsa-mir-188	sequence	LM608524	
miRBase	MI0000486	hsa-mir-190a	sequence	LM608525	
miRBase	MI0000487	hsa-mir-193a	sequence	LM608526	
miRBase	MI0000488	hsa-mir-194-1	sequence	LM608527	
miRBase	MI0000489	hsa-mir-195	sequence	LM608528	
miRBase	MI0000490	hsa-mir-206	sequence	LM608529	
miRBase	MI0000492	cbr-lin-4	sequence	LM608530	
miRBase	MI0000494	cbr-mir-34	sequence	LM608531	
miRBase	MI0000505	cbr-mir-52	sequence	LM608532	
miRBase	MI0000508	cbr-mir-58a	sequence	LM608533	
miRBase	MI0000509	cbr-mir-60	sequence	LM608534	
miRBase	MI0000511	cbr-mir-71	sequence	LM608535	
miRBase	MI0000513	cbr-mir-74a	sequence	LM608536	
miRBase	MI0000515	cbr-mir-77-1	sequence	LM608537	
miRBase	MI0000517	cbr-mir-79	sequence	LM608538	
miRBase	MI0000519	cbr-mir-81	sequence	LM608539	
miRBase	MI0000532	cbr-mir-236	sequence	LM608540	
miRBase	MI0000542	hsa-mir-320a	sequence	LM608541	
miRBase	MI0000544	ath-MIR319a	sequence	LM608542	
miRBase	MI0000545	ath-MIR319b	sequence	LM608543	
miRBase	MI0000546	mmu-mir-19b-2	sequence	LM608544	
miRBase	MI0000547	mmu-mir-30c-1	sequence	LM608545	
miRBase	MI0000548	mmu-mir-30c-2	sequence	LM608546	
miRBase	MI0000549	mmu-mir-30d	sequence	LM608547	
miRBase	MI0000550	mmu-mir-148a	sequence	LM608548	
miRBase	MI0000551	mmu-mir-192	sequence	LM608549	
miRBase	MI0000552	mmu-mir-196a-1	sequence	LM608550	
