rfam_acc	db_id	comment	db_link	other_params	type
RF00016	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00016	snoopy		Mus_musculus300888;		Gene; snRNA; snoRNA; CD-box;
RF00016	snoopy		Homo_sapiens300754;		Gene; snRNA; snoRNA; CD-box;
RF00016	snoopy		Saccharomyces_cerevisiae300053;		Gene; snRNA; snoRNA; CD-box;
RF00016	snoopy		Mus_musculus300888		Gene; snRNA; snoRNA; CD-box;
RF00016	snoopy		Homo_sapiens300754		Gene; snRNA; snoRNA; CD-box;
RF00016	snoopy		Saccharomyces_cerevisiae300053		Gene; snRNA; snoRNA; CD-box;
RF00017	URL		http://rnp.uthscsa.edu/rnp/SRPDB/SRPDB.html		Gene;
RF00017	SO		0000590	SRP_RNA	Gene;
RF00017	GO		0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	Gene;
RF00017	GO		0005786	signal recognition particle, endoplasmic reticulum targeting	Gene;
RF00017	GO		0048501	signal recognition particle, plasma membrane targeting	Gene;
RF00018	SO		0000377	CsrB_RsmB_RNA	Gene; sRNA;
RF00018	GO		0005515	protein binding	Gene; sRNA;
RF00019	SO		0000405	Y_RNA	Gene;
RF00020	SO		0000395	U5_snRNA	Gene; snRNA; splicing;
RF00020	GO		0000353	formation of quadruple SL/U4/U5/U6 snRNP	Gene; snRNA; splicing;
RF00020	GO		0005682	U5 snRNP	Gene; snRNA; splicing;
RF00020	GO		0046540	U4/U6 x U5 tri-snRNP complex	Gene; snRNA; splicing;
RF00020	GO		0000244	spliceosomal tri-snRNP complex assembly	Gene; snRNA; splicing;
RF00021	SO		0000389	spot_42_RNA	Gene; sRNA;
RF00022	SO		0000379	GcvB_RNA	Gene;
RF00023	SO		0000584	tmRNA	Gene;
RF00023	URL		http://merops.sanger.ac.uk/cgi-bin/merops.cgi?id=S14.001		Gene;
RF00023	GO		0006401	RNA catabolic process	Gene;
RF00024	SO		0000390	telomerase_RNA	Gene;
RF00024	GO		0007004	telomere maintenance via telomerase	Gene;
RF00024	GO		0003720	telomerase activity	Gene;
RF00024	GO		0000333	telomerase catalytic core complex	Gene;
RF00025	SO		0000390	telomerase_RNA	Gene;
RF00025	GO		0007004	telomere maintenance via telomerase	Gene;
RF00025	GO		0003720	telomerase activity	Gene;
RF00025	GO		0000333	telomerase catalytic core complex	Gene;
RF00026	SO		0000396	U6_snRNA	Gene; snRNA; splicing;
RF00026	GO		0000353	formation of quadruple SL/U4/U5/U6 snRNP	Gene; snRNA; splicing;
RF00026	GO		0030621	U4 snRNA binding	Gene; snRNA; splicing;
RF00026	GO		0005688	U6 snRNP	Gene; snRNA; splicing;
RF00026	GO		0046540	U4/U6 x U5 tri-snRNP complex	Gene; snRNA; splicing;
RF00026	GO		0000244	spliceosomal tri-snRNP complex assembly	Gene; snRNA; splicing;
RF00027	MIPF		MIPF0000002		Gene; miRNA;
RF00027	SO		0001244	pre_miRNA	Gene; miRNA;
RF00027	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00027	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00028	SO		0000587	group_I_intron	Intron;
RF00028	GO		0000372	Group I intron splicing	Intron;
RF00029	SO		0000603	group_II_intron	Intron;
RF00029	GO		0000373	Group II intron splicing	Intron;
RF00030	SO		0000385	RNase_MRP_RNA	Gene; ribozyme;
RF00030	GO		0006364	rRNA processing	Gene; ribozyme;
RF00030	GO		0000171	ribonuclease MRP activity	Gene; ribozyme;
RF00030	GO		0000172	ribonuclease MRP complex	Gene; ribozyme;
RF00031	SO		1001274	SECIS_element	Cis-reg;
RF00031	GO		0001514	selenocysteine incorporation	Cis-reg;
RF00032	SO		0000205	three_prime_UTR	Cis-reg;
RF00032	GO		0006398	mRNA 3'-end processing by stem-loop binding and cleavage	Cis-reg;
RF00033	URL		http://biobases.ibch.poznan.pl/ncRNA		Gene; antisense;
RF00033	SO		0000383	MicF_RNA	Gene; antisense;
RF00033	GO		0006950	response to stress	Gene; antisense;
RF00033	GO		0003729	mRNA binding	Gene; antisense;
RF00034	URL		http://biobases.ibch.poznan.pl/ncRNA		Gene; sRNA;
RF00034	SO		0000387	RprA_RNA	Gene; sRNA;
RF00034	GO		0003729	mRNA binding	Gene; sRNA;
RF00035	URL		http://biobases.ibch.poznan.pl/ncRNA		Gene; sRNA;
RF00035	SO		0000384	OxyS_RNA	Gene; sRNA;
RF00036	SO		0000388	RRE_RNA	Cis-reg;
RF00036	GO		0051169	nuclear transport	Cis-reg;
RF00036	GO		0005515	protein binding	Cis-reg;
RF00036	GO		0005634	nucleus	Cis-reg;
RF00037	GO		0010039	response to iron ion	Cis-reg;
RF00037	SO		0004725	regulatory_region	Cis-reg;
RF00038	SO		0000233	mature_transcript	Cis-reg; thermoregulator;
RF00038	GO		0040040	thermosensory behavior	Cis-reg; thermoregulator;
RF00039	SO		0000644	antisense_RNA	Gene; antisense;
RF00039	GO		0003729	mRNA binding	Gene; antisense;
RF00040	SO		0000204	five_prime_UTR	Cis-reg;
RF00040	GO		0010468	regulation of gene expression	Cis-reg;
RF00041	SO		0000205	three_prime_UTR	Cis-reg;
RF00041	GO		0039703	RNA replication	Cis-reg;
RF00042	SO		0000644	antisense_RNA	Gene; antisense;
RF00042	GO		0003729	mRNA binding	Gene; antisense;
RF00043	SO		0001263	ncRNA_gene	Gene; antisense;
RF00043	GO		0060908	plasmid copy number maintenance	Gene; antisense;
RF00044	SO		0000655	ncRNA	Gene;
RF00045	snoRNABase		U17a		Gene; snRNA; snoRNA; HACA-box;
RF00045	snoRNABase		U17b		Gene; snRNA; snoRNA; HACA-box;
RF00045	SO		0000594	H_ACA_box_snoRNA	Gene; snRNA; snoRNA; HACA-box;
RF00045	GO		0006396	RNA processing	Gene; snRNA; snoRNA; HACA-box;
RF00045	GO		0005730	nucleolus	Gene; snRNA; snoRNA; HACA-box;
RF00045	snoopy		Mus_musculus300899		Gene; snRNA; snoRNA; HACA-box;
RF00045	snoopy		Homo_sapiens300294		Gene; snRNA; snoRNA; HACA-box;
RF00046	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00046	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00046	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00047	MIPF		MIPF0000049		Gene; miRNA;
RF00047	SO		0001244	pre_miRNA	Gene; miRNA;
RF00047	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00047	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00048	SO		0000233	mature_transcript	Cis-reg;
RF00048	GO		0039703	RNA replication	Cis-reg;
RF00049	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00049	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00049	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00049	snoopy		Mus_musculus300968;		Gene; snRNA; snoRNA; CD-box;
RF00049	snoopy		Oryzias_latipes300058;		Gene; snRNA; snoRNA; CD-box;
RF00049	snoopy		Mus_musculus300968		Gene; snRNA; snoRNA; CD-box;
RF00049	snoopy		Oryzias_latipes300058		Gene; snRNA; snoRNA; CD-box;
RF00050	SO		0000035	riboswitch	Cis-reg; riboswitch;
RF00050	GO		0010181	FMN binding	Cis-reg; riboswitch;
RF00051	SO		0001244	pre_miRNA	Gene; miRNA;
RF00051	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00051	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00052	MIPF		MIPF0000303		Gene; miRNA;
RF00052	SO		0001244	pre_miRNA	Gene; miRNA;
RF00052	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00052	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00053	MIPF		MIPF0000022		Gene; miRNA;
RF00053	SO		0001244	pre_miRNA	Gene; miRNA;
RF00053	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00053	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00054	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00054	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00054	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00054	snoopy		Mus_musculus300709		Gene; snRNA; snoRNA; CD-box;
RF00054	snoopy		Homo_sapiens300169		Gene; snRNA; snoRNA; CD-box;
RF00055	snoRNABase		U96a		Gene; snRNA; snoRNA; CD-box;
RF00055	snoRNABase		U96b		Gene; snRNA; snoRNA; CD-box;
RF00055	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00055	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00055	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00055	snoopy		Arabidopsis_thaliana300073		Gene; snRNA; snoRNA; CD-box;
RF00055	snoopy		Homo_sapiens300641		Gene; snRNA; snoRNA; CD-box;
RF00056	snoRNABase		U71a		Gene; snRNA; snoRNA; HACA-box;
RF00056	snoRNABase		U71b		Gene; snRNA; snoRNA; HACA-box;
RF00056	snoRNABase		U71c		Gene; snRNA; snoRNA; HACA-box;
RF00056	snoRNABase		ACA39		Gene; snRNA; snoRNA; HACA-box;
RF00056	snoRNABase		ACA60		Gene; snRNA; snoRNA; HACA-box;
RF00056	SO		0000594	H_ACA_box_snoRNA	Gene; snRNA; snoRNA; HACA-box;
RF00056	GO		0006396	RNA processing	Gene; snRNA; snoRNA; HACA-box;
RF00056	GO		0005730	nucleolus	Gene; snRNA; snoRNA; HACA-box;
RF00056	snoopy		Mus_musculus300703		Gene; snRNA; snoRNA; HACA-box;
RF00056	snoopy		Homo_sapiens300484		Gene; snRNA; snoRNA; HACA-box;
RF00057	SO		0000644	antisense_RNA	Gene; sRNA;
RF00058	SO		0000655	ncRNA	Gene;
RF00059	SO		0000035	riboswitch	Cis-reg; riboswitch;
RF00059	GO		0030976	thiamine pyrophosphate binding	Cis-reg; riboswitch;
RF00060	SO		0000655	ncRNA	Gene;
RF00061	SO		0000243	internal_ribosome_entry_site	Cis-reg; IRES;
RF00061	GO		0043022	ribosome binding	Cis-reg; IRES;
RF00062	SO		0000655	ncRNA	Gene;
RF00063	SO		0000233	mature_transcript	Gene;
RF00064	SO		0000655	ncRNA	Gene;
RF00065	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00065	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00065	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00066	SO		0000274	snRNA	Gene; snRNA;
RF00067	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00067	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00067	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00067	snoopy		Mus_musculus300760		Gene; snRNA; snoRNA; CD-box;
RF00067	snoopy		Homo_sapiens300742		Gene; snRNA; snoRNA; CD-box;
RF00068	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00068	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00068	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00068	snoopy		Mus_musculus300771		Gene; snRNA; snoRNA; CD-box;
RF00068	snoopy		Danio_rerio300117		Gene; snRNA; snoRNA; CD-box;
RF00069	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00069	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00069	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00069	snoopy		Mus_musculus300797		Gene; snRNA; snoRNA; CD-box;
RF00069	snoopy		Oryzias_latipes300056		Gene; snRNA; snoRNA; CD-box;
RF00070	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00070	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00070	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00070	snoopy		Mus_musculus300713		Gene; snRNA; snoRNA; CD-box;
RF00070	snoopy		Oryctolagus_cuniculus300345		Gene; snRNA; snoRNA; CD-box;
RF00071	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00071	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00071	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00071	snoopy		Mus_musculus300904		Gene; snRNA; snoRNA; CD-box;
RF00071	snoopy		Gallus_gallus300084		Gene; snRNA; snoRNA; CD-box;
RF00072	SO		0000594	H_ACA_box_snoRNA	Gene; snRNA; snoRNA; HACA-box;
RF00072	GO		0006396	RNA processing	Gene; snRNA; snoRNA; HACA-box;
RF00072	GO		0005730	nucleolus	Gene; snRNA; snoRNA; HACA-box;
RF00072	snoopy		Mus_musculus300788		Gene; snRNA; snoRNA; HACA-box;
RF00072	snoopy		Homo_sapiens300068		Gene; snRNA; snoRNA; HACA-box;
RF00073	MIPF		MIPF0000008		Gene; miRNA;
RF00073	SO		0001244	pre_miRNA	Gene; miRNA;
RF00073	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00073	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00074	MIPF		MIPF0000009		Gene; miRNA;
RF00074	SO		0001244	pre_miRNA	Gene; miRNA;
RF00074	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00074	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00075	MIPF		MIPF0000004		Gene; miRNA;
RF00075	SO		0001244	pre_miRNA	Gene; miRNA;
RF00075	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00075	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00076	MIPF		MIPF0000007		Gene; miRNA;
RF00076	SO		0001244	pre_miRNA	Gene; miRNA;
RF00076	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00076	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00077	SO		0000655	ncRNA	Gene; sRNA;
RF00078	SO		0000655	ncRNA	Gene; sRNA;
RF00078	GO		0003729	mRNA binding	Gene; sRNA;
RF00078	GO		0006950	response to stress	Gene; sRNA;
RF00079	SO		0000655	ncRNA	Gene; sRNA;
RF00080	SO		0000233	mature_transcript	Cis-reg; riboswitch;
RF00080	GO		0030145	manganese ion binding	Cis-reg; riboswitch;
RF00081	SO		0000655	ncRNA	Gene; sRNA;
RF00082	SO		0000655	ncRNA	Gene; sRNA;
RF00083	SO		0000655	ncRNA	Gene; sRNA;
RF00084	SO		0000655	ncRNA	Gene; sRNA;
RF00085	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00085	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00085	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00085	snoopy		Mus_musculus300712		Gene; snRNA; snoRNA; CD-box;
RF00085	snoopy		Oryctolagus_cuniculus300343		Gene; snRNA; snoRNA; CD-box;
RF00086	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00086	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00086	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00086	snoopy		Mus_musculus300711		Gene; snRNA; snoRNA; CD-box;
RF00086	snoopy		Oryctolagus_cuniculus300342		Gene; snRNA; snoRNA; CD-box;
RF00087	SO		0001263	ncRNA_gene	Gene; snRNA; snoRNA; CD-box;
RF00087	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00087	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00087	snoopy		Mus_musculus300710		Gene; snRNA; snoRNA; CD-box;
RF00087	snoopy		Oryctolagus_cuniculus300341		Gene; snRNA; snoRNA; CD-box;
RF00088	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00088	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00088	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00088	snoopy		Mus_musculus300559		Gene; snRNA; snoRNA; CD-box;
RF00088	snoopy		Danio_rerio300011		Gene; snRNA; snoRNA; CD-box;
RF00089	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00089	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00089	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00089	snoopy		Mus_musculus300715		Gene; snRNA; snoRNA; CD-box;
RF00089	snoopy		Loxodonta_africana300011		Gene; snRNA; snoRNA; CD-box;
RF00090	SO		0000594	H_ACA_box_snoRNA	Gene; snRNA; snoRNA; HACA-box;
RF00090	GO		0006396	RNA processing	Gene; snRNA; snoRNA; HACA-box;
RF00090	GO		0005730	nucleolus	Gene; snRNA; snoRNA; HACA-box;
RF00090	snoopy		Mus_musculus300550		Gene; snRNA; snoRNA; HACA-box;
RF00090	snoopy		Loxodonta_africana300332		Gene; snRNA; snoRNA; HACA-box;
RF00091	snoRNABase		E2		Gene; snRNA; snoRNA; HACA-box;
RF00091	snoRNABase		ACA6		Gene; snRNA; snoRNA; HACA-box;
RF00091	SO		0000594	H_ACA_box_snoRNA	Gene; snRNA; snoRNA; HACA-box;
RF00091	GO		0006396	RNA processing	Gene; snRNA; snoRNA; HACA-box;
RF00091	GO		0005730	nucleolus	Gene; snRNA; snoRNA; HACA-box;
RF00091	snoopy		Mus_musculus300694		Gene; snRNA; snoRNA; HACA-box;
RF00091	snoopy		Homo_sapiens300658		Gene; snRNA; snoRNA; HACA-box;
RF00092	SO		0000594	H_ACA_box_snoRNA	Gene; snRNA; snoRNA; HACA-box;
RF00092	GO		0006396	RNA processing	Gene; snRNA; snoRNA; HACA-box;
RF00092	GO		0005730	nucleolus	Gene; snRNA; snoRNA; HACA-box;
RF00092	snoopy		Mus_musculus300555		Gene; snRNA; snoRNA; HACA-box;
RF00092	snoopy		Homo_sapiens300073		Gene; snRNA; snoRNA; HACA-box;
RF00093	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00093	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00093	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00093	snoopy		Mus_musculus300894		Gene; snRNA; snoRNA; CD-box;
RF00093	snoopy		Homo_sapiens300399		Gene; snRNA; snoRNA; CD-box;
RF00094	URL		http://subviral.med.uottawa.ca/cgi-bin/species.cgi?fkLongueur=2		Gene; ribozyme;
RF00094	SO		0000374	ribozyme	Gene; ribozyme;
RF00095	URL		http://rna.wustl.edu/snoRNAdb/		Gene; snRNA; snoRNA; CD-box;
RF00095	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00095	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00095	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00095	snoopy		Oryctolagus_cuniculus300306		Gene; snRNA; snoRNA; CD-box;
RF00096	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00096	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00096	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00096	snoopy		Mus_musculus300007		Gene; snRNA; snoRNA; CD-box;
RF00096	snoopy		Homo_sapiens300380		Gene; snRNA; snoRNA; CD-box;
RF00097	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00097	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00097	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00097	snoopy		Arabidopsis_thaliana300245		Gene; snRNA; snoRNA; CD-box;
RF00099	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00099	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00099	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00099	snoopy		Mus_musculus300716		Gene; snRNA; snoRNA; CD-box;
RF00099	snoopy		Loxodonta_africana300333		Gene; snRNA; snoRNA; CD-box;
RF00100	SO		0000274	snRNA	Gene;
RF00101	SO		0000655	ncRNA	Gene; sRNA;
RF00102	SO		0005836	regulatory_region	Gene;
RF00103	SO		0001244	pre_miRNA	Gene; miRNA;
RF00103	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00103	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00104	MIPF		MIPF0000033		Gene; miRNA;
RF00104	MIPF		MIPF0000025		Gene; miRNA;
RF00104	MIPF		MIPF0000268		Gene; miRNA;
RF00104	MIPF		MIPF0000271		Gene; miRNA;
RF00104	SO		0001244	pre_miRNA	Gene; miRNA;
RF00104	GO		0035195	gene silencing by miRNA	Gene; miRNA;
RF00104	GO		0035068	micro-ribonucleoprotein complex	Gene; miRNA;
RF00105	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00105	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00105	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00105	snoopy		Mus_musculus300124		Gene; snRNA; snoRNA; CD-box;
RF00105	snoopy		Homo_sapiens300324		Gene; snRNA; snoRNA; CD-box;
RF00106	SO		0000644	antisense_RNA	Gene; antisense;
RF00106	GO		0060910	negative regulation of DNA replication initiation involved in plasmid copy number maintenance	Gene; antisense;
RF00107	SO		0000644	antisense_RNA	Gene;
RF00108	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00108	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00108	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00108	snoopy		Mus_musculus300268		Gene; snRNA; snoRNA; CD-box;
RF00108	snoopy		Homo_sapiens300125		Gene; snRNA; snoRNA; CD-box;
RF00109	SO		0000205	three_prime_UTR	Cis-reg;
RF00109	GO		0005515	protein binding	Cis-reg;
RF00110	SO		0000655	ncRNA	Gene; sRNA;
RF00111	SO		0000655	ncRNA	Gene; sRNA;
RF00112	SO		0000655	ncRNA	Gene; sRNA;
RF00113	SO		0000655	ncRNA	Gene; antitoxin;
RF00113	GO		0003729	mRNA binding	Gene; antitoxin;
RF00114	SO		0005836	regulatory_region	Cis-reg; leader;
RF00114	GO		0045974	regulation of translation, ncRNA-mediated	Cis-reg; leader;
RF00115	SO		0001263	ncRNA_gene	Gene; sRNA;
RF00115	GO		0005515	protein binding	Gene; sRNA;
RF00115	GO		0006417	regulation of translation	Gene; sRNA;
RF00116	SO		0000655	ncRNA	Gene; sRNA;
RF00117	SO		0000655	ncRNA	Gene; sRNA;
RF00118	SO		0000655	ncRNA	Gene; sRNA;
RF00119	SO		0001263	ncRNA_gene	Gene; sRNA;
RF00121	SO		0000655	ncRNA	Gene; sRNA;
RF00122	SO		0001263	ncRNA_gene	Gene; sRNA;
RF00122	GO		0003729	mRNA binding	Gene; sRNA;
RF00124	SO		0000655	ncRNA	Gene; sRNA;
RF00125	SO		0001263	ncRNA_gene	Gene; sRNA;
RF00126	SO		0000655	ncRNA	Gene; sRNA;
RF00127	SO		0000655	ncRNA	Gene; sRNA;
RF00128	SO		0000655	ncRNA	Gene; sRNA;
RF00129	SO		0001244	pre_miRNA	Gene; miRNA;
