########################################
# Program: tcode
# Rundate: Wed 21 Jan 2026 16:40:58
# Commandline: tcode
#    -sequence XIST.fasta
#    -window 200
#    -outfile XIST_tcode.out
#    -plot
#    -graph png
# Report_format: table
# Report_file: XIST_tcode.out
########################################

#=======================================
#
# Sequence: URS000025784F     from: 1   to: 37027
# HitCount: 12276
#
# Fickett TESTCODE statistic
#
#=======================================

  Start     End  Strand   Score Estimation
    403     602       +   0.378 Non-coding
    406     605       +   0.395 Non-coding
    409     608       +   0.429 Non-coding
    412     611       +   0.423 Non-coding
    415     614       +   0.440 Non-coding
    418     617       +   0.407 Non-coding
    421     620       +   0.390 Non-coding
    424     623       +   0.404 Non-coding
    427     626       +   0.409 Non-coding
    430     629       +   0.404 Non-coding
    433     632       +   0.404 Non-coding
    436     635       +   0.414 Non-coding
    439     638       +   0.396 Non-coding
    442     641       +   0.414 Non-coding
    445     644       +   0.414 Non-coding
    448     647       +   0.439 Non-coding
    451     650       +   0.451 Non-coding
    454     653       +   0.414 Non-coding
    457     656       +   0.414 Non-coding
    460     659       +   0.473 Non-coding
    463     662       +   0.485 Non-coding
    466     665       +   0.445 Non-coding
    469     668       +   0.451 Non-coding
    472     671       +   0.439 Non-coding
    475     674       +   0.439 Non-coding
    478     677       +   0.421 Non-coding
    481     680       +   0.439 Non-coding
    484     683       +   0.439 Non-coding
    487     686       +   0.421 Non-coding
    490     689       +   0.455 Non-coding
    493     692       +   0.533 Non-coding
    496     695       +   0.528 Non-coding
    499     698       +   0.528 Non-coding
    502     701       +   0.557 Non-coding
    505     704       +   0.487 Non-coding
    508     707       +   0.487 Non-coding
    511     710       +   0.494 Non-coding
    514     713       +   0.494 Non-coding
    517     716       +   0.508 Non-coding
    520     719       +   0.484 Non-coding
    523     722       +   0.505 Non-coding
    526     725       +   0.484 Non-coding
    529     728       +   0.478 Non-coding
    532     731       +   0.463 Non-coding
    535     734       +   0.463 Non-coding
    538     737       +   0.463 Non-coding
    541     740       +   0.476 Non-coding
    544     743       +   0.489 Non-coding
    547     746       +   0.512 Non-coding
    550     749       +   0.525 Non-coding
    553     752       +   0.472 Non-coding
    556     755       +   0.522 Non-coding
    559     758       +   0.532 Non-coding
    562     761       +   0.462 Non-coding
    565     764       +   0.479 Non-coding
    568     767       +   0.532 Non-coding
    571     770       +   0.592 Non-coding
    574     773       +   0.592 Non-coding
    577     776       +   0.532 Non-coding
    580     779       +   0.511 Non-coding
    583     782       +   0.511 Non-coding
    586     785       +   0.737 Non-coding
    589     788       +   0.716 Non-coding
    592     791       +   0.829 No opinion
    595     794       +   0.767 No opinion
    598     797       +   0.865 No opinion
    601     800       +   0.788 No opinion
    604     803       +   0.801 No opinion
    607     806       +   0.867 No opinion
    610     809       +   0.849 No opinion
    613     812       +   0.785 No opinion
    616     815       +   0.739 Non-coding
    619     818       +   0.775 No opinion
    622     821       +   0.671 Non-coding
    625     824       +   0.671 Non-coding
    628     827       +   0.763 No opinion
    631     830       +   0.686 Non-coding
    634     833       +   0.722 Non-coding
    637     836       +   0.652 Non-coding
    640     839       +   0.598 Non-coding
    643     842       +   0.536 Non-coding
    646     845       +   0.532 Non-coding
    649     848       +   0.427 Non-coding
    652     851       +   0.496 Non-coding
    655     854       +   0.525 Non-coding
    658     857       +   0.576 Non-coding
    661     860       +   0.490 Non-coding
    664     863       +   0.522 Non-coding
    667     866       +   0.574 Non-coding
    670     869       +   0.603 Non-coding
    673     872       +   0.582 Non-coding
    676     875       +   0.609 Non-coding
    679     878       +   0.580 Non-coding
    682     881       +   0.555 Non-coding
    685     884       +   0.501 Non-coding
    688     887       +   0.501 Non-coding
    691     890       +   0.476 Non-coding
    694     893       +   0.501 Non-coding
    697     896       +   0.562 Non-coding
    700     899       +   0.526 Non-coding
    703     902       +   0.562 Non-coding
    706     905       +   0.613 Non-coding
    709     908       +   0.613 Non-coding
    712     911       +   0.709 Non-coding
    715     914       +   0.787 No opinion
    718     917       +   0.616 Non-coding
    721     920       +   0.707 Non-coding
    724     923       +   0.720 Non-coding
    727     926       +   0.736 Non-coding
    730     929       +   0.768 No opinion
    733     932       +   0.735 Non-coding
    736     935       +   0.735 Non-coding
    739     938       +   0.768 No opinion
    742     941       +   0.827 No opinion
    745     944       +   0.584 Non-coding
    748     947       +   0.582 Non-coding
    751     950       +   0.626 Non-coding
    754     953       +   0.742 No opinion
    757     956       +   0.601 Non-coding
    760     959       +   0.607 Non-coding
    763     962       +   0.538 Non-coding
    766     965       +   0.551 Non-coding
    769     968       +   0.551 Non-coding
    772     971       +   0.536 Non-coding
    775     974       +   0.436 Non-coding
    778     977       +   0.551 Non-coding
    781     980       +   0.544 Non-coding
    784     983       +   0.429 Non-coding
    787     986       +   0.409 Non-coding
    790     989       +   0.544 Non-coding
    793     992       +   0.543 Non-coding
    796     995       +   0.549 Non-coding
    799     998       +   0.468 Non-coding
    802    1001       +   0.436 Non-coding
    805    1004       +   0.578 Non-coding
    808    1007       +   0.532 Non-coding
    811    1010       +   0.431 Non-coding
    814    1013       +   0.418 Non-coding
    817    1016       +   0.385 Non-coding
    820    1019       +   0.417 Non-coding
    823    1022       +   0.412 Non-coding
    826    1025       +   0.517 Non-coding
    829    1028       +   0.479 Non-coding
    832    1031       +   0.528 Non-coding
    835    1034       +   0.493 Non-coding
    838    1037       +   0.363 Non-coding
    841    1040       +   0.354 Non-coding
    844    1043       +   0.413 Non-coding
    847    1046       +   0.433 Non-coding
    850    1049       +   0.440 Non-coding
    853    1052       +   0.516 Non-coding
    856    1055       +   0.516 Non-coding
    859    1058       +   0.536 Non-coding
    862    1061       +   0.568 Non-coding
    865    1064       +   0.521 Non-coding
    868    1067       +   0.494 Non-coding
    871    1070       +   0.489 Non-coding
    874    1073       +   0.494 Non-coding
    877    1076       +   0.483 Non-coding
    880    1079       +   0.498 Non-coding
    883    1082       +   0.559 Non-coding
    886    1085       +   0.520 Non-coding
    889    1088       +   0.520 Non-coding
    892    1091       +   0.582 Non-coding
    895    1094       +   0.620 Non-coding
    898    1097       +   0.620 Non-coding
    901    1100       +   0.634 Non-coding
    904    1103       +   0.608 Non-coding
    907    1106       +   0.774 No opinion
    910    1109       +   0.750 No opinion
    913    1112       +   0.780 No opinion
    916    1115       +   0.780 No opinion
    919    1118       +   0.769 No opinion
    922    1121       +   0.785 No opinion
    925    1124       +   0.793 No opinion
    928    1127       +   0.699 Non-coding
    931    1130       +   0.758 No opinion
    934    1133       +   0.732 Non-coding
    937    1136       +   0.759 No opinion
    940    1139       +   0.752 No opinion
    943    1142       +   0.732 Non-coding
    946    1145       +   0.725 Non-coding
    949    1148       +   0.752 No opinion
    952    1151       +   0.740 Non-coding
    955    1154       +   0.695 Non-coding
    958    1157       +   0.695 Non-coding
    961    1160       +   0.695 Non-coding
    964    1163       +   0.680 Non-coding
    967    1166       +   0.657 Non-coding
    970    1169       +   0.630 Non-coding
    973    1172       +   0.644 Non-coding
    976    1175       +   0.607 Non-coding
    979    1178       +   0.607 Non-coding
    982    1181       +   0.650 Non-coding
    985    1184       +   0.681 Non-coding
    988    1187       +   0.718 Non-coding
    991    1190       +   0.746 No opinion
    994    1193       +   0.744 No opinion
    997    1196       +   0.744 No opinion
   1000    1199       +   0.789 No opinion
   1003    1202       +   0.907 No opinion
   1006    1205       +   0.933 No opinion
   1009    1208       +   0.763 No opinion
   1012    1211       +   0.966 Coding    
   1015    1214       +   0.966 Coding    
   1018    1217       +   0.998 Coding    
   1021    1220       +   0.942 No opinion
   1024    1223       +   0.830 No opinion
   1027    1226       +   0.836 No opinion
   1030    1229       +   0.863 No opinion
   1033    1232       +   1.008 Coding    
   1036    1235       +   0.975 Coding    
   1039    1238       +   1.032 Coding    
   1042    1241       +   1.032 Coding    
   1045    1244       +   0.975 Coding    
   1048    1247       +   0.984 Coding    
   1051    1250       +   0.965 Coding    
   1054    1253       +   0.999 Coding    
   1057    1256       +   0.916 No opinion
   1060    1259       +   0.892 No opinion
   1063    1262       +   0.943 No opinion
   1066    1265       +   0.933 No opinion
   1069    1268       +   0.821 No opinion
   1072    1271       +   0.814 No opinion
   1075    1274       +   0.833 No opinion
   1078    1277       +   0.822 No opinion
   1081    1280       +   0.824 No opinion
   1084    1283       +   0.915 No opinion
   1087    1286       +   0.915 No opinion
   1090    1289       +   0.856 No opinion
   1093    1292       +   0.887 No opinion
   1096    1295       +   0.855 No opinion
   1099    1298       +   0.881 No opinion
   1102    1301       +   0.881 No opinion
   1105    1304       +   0.881 No opinion
   1108    1307       +   0.908 No opinion
   1111    1310       +   0.979 Coding    
   1114    1313       +   0.862 No opinion
   1117    1316       +   0.868 No opinion
   1120    1319       +   0.902 No opinion
   1123    1322       +   0.886 No opinion
   1126    1325       +   0.854 No opinion
   1129    1328       +   0.806 No opinion
   1132    1331       +   0.694 Non-coding
   1135    1334       +   0.791 No opinion
   1138    1337       +   0.750 No opinion
   1141    1340       +   0.802 No opinion
   1144    1343       +   0.773 No opinion
   1147    1346       +   0.748 No opinion
   1150    1349       +   0.766 No opinion
   1153    1352       +   0.867 No opinion
   1156    1355       +   0.909 No opinion
   1159    1358       +   0.890 No opinion
   1162    1361       +   0.890 No opinion
   1165    1364       +   0.921 No opinion
   1168    1367       +   0.866 No opinion
   1171    1370       +   0.903 No opinion
   1174    1373       +   0.836 No opinion
   1177    1376       +   0.885 No opinion
   1180    1379       +   0.799 No opinion
   1183    1382       +   0.805 No opinion
   1186    1385       +   0.823 No opinion
   1189    1388       +   0.780 No opinion
   1192    1391       +   0.731 Non-coding
   1195    1394       +   0.751 No opinion
   1198    1397       +   0.751 No opinion
   1201    1400       +   0.814 No opinion
   1204    1403       +   0.655 Non-coding
   1207    1406       +   0.642 Non-coding
   1210    1409       +   0.523 Non-coding
   1213    1412       +   0.530 Non-coding
   1216    1415       +   0.530 Non-coding
   1219    1418       +   0.542 Non-coding
   1222    1421       +   0.683 Non-coding
   1225    1424       +   0.521 Non-coding
   1228    1427       +   0.633 Non-coding
   1231    1430       +   0.485 Non-coding
   1234    1433       +   0.597 Non-coding
   1237    1436       +   0.552 Non-coding
   1240    1439       +   0.537 Non-coding
   1243    1442       +   0.600 Non-coding
   1246    1445       +   0.722 Non-coding
   1249    1448       +   0.632 Non-coding
   1252    1451       +   0.635 Non-coding
   1255    1454       +   0.529 Non-coding
   1258    1457       +   0.565 Non-coding
   1261    1460       +   0.674 Non-coding
   1264    1463       +   0.672 Non-coding
   1267    1466       +   0.660 Non-coding
   1270    1469       +   0.660 Non-coding
   1273    1472       +   0.655 Non-coding
   1276    1475       +   0.644 Non-coding
   1279    1478       +   0.645 Non-coding
   1282    1481       +   0.705 Non-coding
   1285    1484       +   0.716 Non-coding
   1288    1487       +   0.740 Non-coding
   1291    1490       +   0.827 No opinion
   1294    1493       +   0.722 Non-coding
   1297    1496       +   0.662 Non-coding
   1300    1499       +   0.674 Non-coding
   1303    1502       +   0.762 No opinion
   1306    1505       +   0.684 Non-coding
   1309    1508       +   0.684 Non-coding
   1312    1511       +   0.617 Non-coding
   1315    1514       +   0.667 Non-coding
   1318    1517       +   0.643 Non-coding
   1321    1520       +   0.625 Non-coding
   1324    1523       +   0.645 Non-coding
   1327    1526       +   0.608 Non-coding
   1330    1529       +   0.482 Non-coding
   1333    1532       +   0.511 Non-coding
   1336    1535       +   0.451 Non-coding
   1339    1538       +   0.456 Non-coding
   1342    1541       +   0.489 Non-coding
   1345    1544       +   0.496 Non-coding
   1348    1547       +   0.496 Non-coding
   1351    1550       +   0.496 Non-coding
   1354    1553       +   0.496 Non-coding
   1357    1556       +   0.516 Non-coding
   1360    1559       +   0.516 Non-coding
   1363    1562       +   0.468 Non-coding
   1366    1565       +   0.527 Non-coding
   1369    1568       +   0.478 Non-coding
   1372    1571       +   0.499 Non-coding
   1375    1574       +   0.472 Non-coding
   1378    1577       +   0.466 Non-coding
   1381    1580       +   0.503 Non-coding
   1384    1583       +   0.439 Non-coding
   1387    1586       +   0.476 Non-coding
   1390    1589       +   0.418 Non-coding
   1393    1592       +   0.459 Non-coding
   1396    1595       +   0.503 Non-coding
   1399    1598       +   0.532 Non-coding
   1402    1601       +   0.532 Non-coding
   1405    1604       +   0.522 Non-coding
   1408    1607       +   0.495 Non-coding
   1411    1610       +   0.463 Non-coding
   1414    1613       +   0.463 Non-coding
   1417    1616       +   0.463 Non-coding
   1420    1619       +   0.550 Non-coding
   1423    1622       +   0.555 Non-coding
   1426    1625       +   0.555 Non-coding
   1429    1628       +   0.555 Non-coding
   1432    1631       +   0.463 Non-coding
   1435    1634       +   0.451 Non-coding
   1438    1637       +   0.451 Non-coding
   1441    1640       +   0.509 Non-coding
   1444    1643       +   0.662 Non-coding
   1447    1646       +   0.659 Non-coding
   1450    1649       +   0.645 Non-coding
   1453    1652       +   0.555 Non-coding
   1456    1655       +   0.554 Non-coding
   1459    1658       +   0.567 Non-coding
   1462    1661       +   0.632 Non-coding
   1465    1664       +   0.572 Non-coding
   1468    1667       +   0.478 Non-coding
   1471    1670       +   0.485 Non-coding
   1474    1673       +   0.485 Non-coding
   1477    1676       +   0.577 Non-coding
   1480    1679       +   0.674 Non-coding
   1483    1682       +   0.694 Non-coding
   1486    1685       +   0.739 Non-coding
   1489    1688       +   0.739 Non-coding
   1492    1691       +   0.681 Non-coding
   1495    1694       +   0.653 Non-coding
   1498    1697       +   0.614 Non-coding
   1501    1700       +   0.570 Non-coding
   1504    1703       +   0.592 Non-coding
   1507    1706       +   0.585 Non-coding
   1510    1709       +   0.627 Non-coding
   1513    1712       +   0.646 Non-coding
   1516    1715       +   0.592 Non-coding
   1519    1718       +   0.489 Non-coding
   1522    1721       +   0.539 Non-coding
   1525    1724       +   0.563 Non-coding
   1528    1727       +   0.711 Non-coding
   1531    1730       +   0.699 Non-coding
   1534    1733       +   0.749 No opinion
   1537    1736       +   0.749 No opinion
   1540    1739       +   0.708 Non-coding
   1543    1742       +   0.708 Non-coding
   1546    1745       +   0.698 Non-coding
   1549    1748       +   0.703 Non-coding
   1552    1751       +   0.791 No opinion
   1555    1754       +   0.804 No opinion
   1558    1757       +   0.791 No opinion
   1561    1760       +   0.791 No opinion
   1564    1763       +   0.791 No opinion
   1567    1766       +   0.791 No opinion
   1570    1769       +   0.785 No opinion
   1573    1772       +   0.801 No opinion
   1576    1775       +   0.795 No opinion
   1579    1778       +   0.790 No opinion
   1582    1781       +   0.746 No opinion
   1585    1784       +   0.706 Non-coding
   1588    1787       +   0.704 Non-coding
   1591    1790       +   0.707 Non-coding
   1594    1793       +   0.726 Non-coding
   1597    1796       +   0.814 No opinion
   1600    1799       +   0.841 No opinion
   1603    1802       +   0.850 No opinion
   1606    1805       +   0.856 No opinion
   1609    1808       +   0.836 No opinion
   1612    1811       +   0.802 No opinion
   1615    1814       +   0.866 No opinion
   1618    1817       +   0.866 No opinion
   1621    1820       +   0.918 No opinion
   1624    1823       +   0.891 No opinion
   1627    1826       +   0.886 No opinion
   1630    1829       +   0.891 No opinion
   1633    1832       +   0.905 No opinion
   1636    1835       +   0.869 No opinion
   1639    1838       +   0.854 No opinion
   1642    1841       +   0.869 No opinion
   1645    1844       +   0.882 No opinion
   1648    1847       +   0.910 No opinion
   1651    1850       +   0.882 No opinion
   1654    1853       +   0.882 No opinion
   1657    1856       +   0.882 No opinion
   1660    1859       +   0.882 No opinion
   1663    1862       +   0.864 No opinion
   1666    1865       +   0.905 No opinion
   1669    1868       +   0.905 No opinion
   1672    1871       +   0.910 No opinion
   1675    1874       +   0.905 No opinion
   1678    1877       +   0.895 No opinion
   1681    1880       +   0.895 No opinion
   1684    1883       +   0.803 No opinion
   1687    1886       +   0.882 No opinion
   1690    1889       +   0.810 No opinion
   1693    1892       +   0.822 No opinion
   1696    1895       +   0.822 No opinion
   1699    1898       +   0.882 No opinion
   1702    1901       +   0.774 No opinion
   1705    1904       +   0.874 No opinion
   1708    1907       +   0.865 No opinion
   1711    1910       +   0.861 No opinion
   1714    1913       +   0.819 No opinion
   1717    1916       +   0.782 No opinion
   1720    1919       +   0.788 No opinion
   1723    1922       +   0.768 No opinion
   1726    1925       +   0.805 No opinion
   1729    1928       +   0.790 No opinion
   1732    1931       +   0.709 Non-coding
   1735    1934       +   0.785 No opinion
   1738    1937       +   0.871 No opinion
   1741    1940       +   0.762 No opinion
   1744    1943       +   0.740 No opinion
   1747    1946       +   0.722 Non-coding
   1750    1949       +   0.561 Non-coding
   1753    1952       +   0.558 Non-coding
   1756    1955       +   0.469 Non-coding
   1759    1958       +   0.496 Non-coding
   1762    1961       +   0.500 Non-coding
   1765    1964       +   0.584 Non-coding
   1768    1967       +   0.509 Non-coding
   1771    1970       +   0.621 Non-coding
   1774    1973       +   0.654 Non-coding
   1777    1976       +   0.708 Non-coding
   1780    1979       +   0.734 Non-coding
   1783    1982       +   0.786 No opinion
   1786    1985       +   0.759 No opinion
   1789    1988       +   0.693 Non-coding
   1792    1991       +   0.772 No opinion
   1795    1994       +   0.660 Non-coding
   1798    1997       +   0.725 Non-coding
   1801    2000       +   0.727 Non-coding
   1804    2003       +   0.818 No opinion
   1807    2006       +   0.727 Non-coding
   1810    2009       +   0.720 Non-coding
   1813    2012       +   0.778 No opinion
   1816    2015       +   0.720 Non-coding
   1819    2018       +   0.660 Non-coding
   1822    2021       +   0.665 Non-coding
   1825    2024       +   0.671 Non-coding
   1828    2027       +   0.693 Non-coding
   1831    2030       +   0.803 No opinion
   1834    2033       +   0.751 No opinion
   1837    2036       +   0.771 No opinion
   1840    2039       +   0.879 No opinion
   1843    2042       +   0.879 No opinion
   1846    2045       +   0.911 No opinion
   1849    2048       +   0.907 No opinion
   1852    2051       +   0.907 No opinion
   1855    2054       +   0.839 No opinion
   1858    2057       +   0.839 No opinion
   1861    2060       +   0.873 No opinion
   1864    2063       +   0.772 No opinion
   1867    2066       +   0.801 No opinion
   1870    2069       +   0.775 No opinion
   1873    2072       +   0.747 No opinion
   1876    2075       +   0.813 No opinion
   1879    2078       +   0.790 No opinion
   1882    2081       +   0.744 No opinion
   1885    2084       +   0.772 No opinion
   1888    2087       +   0.763 No opinion
   1891    2090       +   0.734 Non-coding
   1894    2093       +   0.730 Non-coding
   1897    2096       +   0.702 Non-coding
   1900    2099       +   0.730 Non-coding
   1903    2102       +   0.763 No opinion
   1906    2105       +   0.702 Non-coding
   1909    2108       +   0.697 Non-coding
   1912    2111       +   0.697 Non-coding
   1915    2114       +   0.697 Non-coding
   1918    2117       +   0.697 Non-coding
   1921    2120       +   0.697 Non-coding
   1924    2123       +   0.702 Non-coding
   1927    2126       +   0.665 Non-coding
   1930    2129       +   0.702 Non-coding
   1933    2132       +   0.640 Non-coding
   1936    2135       +   0.592 Non-coding
   1939    2138       +   0.592 Non-coding
   1942    2141       +   0.616 Non-coding
   1945    2144       +   0.689 Non-coding
   1948    2147       +   0.701 Non-coding
   1951    2150       +   0.601 Non-coding
   1954    2153       +   0.665 Non-coding
   1957    2156       +   0.677 Non-coding
   1960    2159       +   0.677 Non-coding
   1963    2162       +   0.660 Non-coding
   1966    2165       +   0.702 Non-coding
   1969    2168       +   0.702 Non-coding
   1972    2171       +   0.702 Non-coding
   1975    2174       +   0.604 Non-coding
   1978    2177       +   0.444 Non-coding
   1981    2180       +   0.432 Non-coding
   1984    2183       +   0.432 Non-coding
   1987    2186       +   0.432 Non-coding
   1990    2189       +   0.370 Non-coding
   1993    2192       +   0.395 Non-coding
   1996    2195       +   0.395 Non-coding
   1999    2198       +   0.431 Non-coding
   2002    2201       +   0.431 Non-coding
   2005    2204       +   0.467 Non-coding
   2008    2207       +   0.542 Non-coding
   2011    2210       +   0.436 Non-coding
   2014    2213       +   0.412 Non-coding
   2017    2216       +   0.461 Non-coding
   2020    2219       +   0.402 Non-coding
   2023    2222       +   0.429 Non-coding
   2026    2225       +   0.482 Non-coding
   2029    2228       +   0.519 Non-coding
   2032    2231       +   0.519 Non-coding
   2035    2234       +   0.454 Non-coding
   2038    2237       +   0.490 Non-coding
   2041    2240       +   0.436 Non-coding
   2044    2243       +   0.472 Non-coding
   2047    2246       +   0.436 Non-coding
   2050    2249       +   0.408 Non-coding
   2053    2252       +   0.403 Non-coding
   2056    2255       +   0.430 Non-coding
   2059    2258       +   0.435 Non-coding
   2062    2261       +   0.435 Non-coding
   2065    2264       +   0.453 Non-coding
   2068    2267       +   0.458 Non-coding
   2071    2270       +   0.425 Non-coding
   2074    2273       +   0.422 Non-coding
   2077    2276       +   0.437 Non-coding
   2080    2279       +   0.390 Non-coding
   2083    2282       +   0.390 Non-coding
   2086    2285       +   0.407 Non-coding
   2089    2288       +   0.407 Non-coding
   2092    2291       +   0.420 Non-coding
   2095    2294       +   0.407 Non-coding
   2098    2297       +   0.407 Non-coding
   2101    2300       +   0.407 Non-coding
   2104    2303       +   0.407 Non-coding
   2107    2306       +   0.438 Non-coding
   2110    2309       +   0.451 Non-coding
   2113    2312       +   0.451 Non-coding
   2116    2315       +   0.430 Non-coding
   2119    2318       +   0.416 Non-coding
   2122    2321       +   0.514 Non-coding
   2125    2324       +   0.426 Non-coding
   2128    2327       +   0.393 Non-coding
   2131    2330       +   0.414 Non-coding
   2134    2333       +   0.377 Non-coding
   2137    2336       +   0.393 Non-coding
   2140    2339       +   0.393 Non-coding
   2143    2342       +   0.383 Non-coding
   2146    2345       +   0.383 Non-coding
   2149    2348       +   0.421 Non-coding
   2152    2351       +   0.421 Non-coding
   2155    2354       +   0.352 Non-coding
   2158    2357       +   0.329 Non-coding
   2161    2360       +   0.311 Non-coding
   2164    2363       +   0.311 Non-coding
   2167    2366       +   0.376 Non-coding
   2170    2369       +   0.360 Non-coding
   2173    2372       +   0.360 Non-coding
   2176    2375       +   0.389 Non-coding
   2179    2378       +   0.389 Non-coding
   2182    2381       +   0.413 Non-coding
   2185    2384       +   0.347 Non-coding
   2188    2387       +   0.384 Non-coding
   2191    2390       +   0.397 Non-coding
   2194    2393       +   0.471 Non-coding
   2197    2396       +   0.565 Non-coding
   2200    2399       +   0.630 Non-coding
   2203    2402       +   0.585 Non-coding
   2206    2405       +   0.557 Non-coding
   2209    2408       +   0.549 Non-coding
   2212    2411       +   0.558 Non-coding
   2215    2414       +   0.558 Non-coding
   2218    2417       +   0.585 Non-coding
   2221    2420       +   0.572 Non-coding
   2224    2423       +   0.538 Non-coding
   2227    2426       +   0.538 Non-coding
   2230    2429       +   0.661 Non-coding
   2233    2432       +   0.705 Non-coding
   2236    2435       +   0.645 Non-coding
   2239    2438       +   0.602 Non-coding
   2242    2441       +   0.645 Non-coding
   2245    2444       +   0.705 Non-coding
   2248    2447       +   0.594 Non-coding
   2251    2450       +   0.662 Non-coding
   2254    2453       +   0.668 Non-coding
   2257    2456       +   0.679 Non-coding
   2260    2459       +   0.634 Non-coding
   2263    2462       +   0.580 Non-coding
   2266    2465       +   0.662 Non-coding
   2269    2468       +   0.664 Non-coding
   2272    2471       +   0.553 Non-coding
   2275    2474       +   0.482 Non-coding
   2278    2477       +   0.548 Non-coding
