URS_taxid	CRS_start_relative_to_URS	CRS_end_relative_to_URS	chromosome	CRS_start_relative_to_genome	CRS_end_relative_to_genome	CRS_id	CRS_fdr
URS000076D7F1_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000073F530_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00007DB19F_9606	1	66	chr1	629434	629499	M1398162	8.27
URS000076C388_9606	1	66	chr1	629434	629499	M1398162	8.27
URS0000BA48F3_9606	-54	11	chr1	629434	629499	M1398162	8.27
URS00002337B8_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000BA48F3_9606	-60	5	chr1	629434	629499	M1398162	8.27
URS0000521EE0_9606	71	136	chr1	629434	629499	M1398162	8.27
URS000026E5C5_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00002ACA4E_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000309675_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000031BE1A_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000033ECC1_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000038DFFF_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000038EE5F_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00003B4C57_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00003BE447_9606	-64	1	chr1	629434	629499	M1398162	8.27
URS00003C4419_9606	-64	1	chr1	629434	629499	M1398162	8.27
URS00003EE7EF_9606	41	106	chr1	629434	629499	M1398162	8.27
URS00003F4919_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000400AFD_9606	-64	1	chr1	629434	629499	M1398162	8.27
URS00004650F1_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00004E9D59_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000529F29_9606	71	136	chr1	629434	629499	M1398162	8.27
URS000052EB80_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00000433C6_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00000A0499_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00000A75D2_9606	-64	1	chr1	629434	629499	M1398162	8.27
URS00000AA031_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00000D1B5B_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00000F9146_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000119F1B_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000149331_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000170DDE_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000019F5F1_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00001A3559_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00001FC043_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000201CE1_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000021D25D_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000234300_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00002375A2_9606	-64	1	chr1	629434	629499	M1398162	8.27
URS00002377C3_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000025CB85_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000B1BB63_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000A160DA_9606	69	134	chr1	629434	629499	M1398162	8.27
URS0000A0C3D0_9606	60	125	chr1	629434	629499	M1398162	8.27
URS0000865691_9606	22	87	chr1	629434	629499	M1398162	8.27
URS0000784101_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000077E70D_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000779FCE_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000779767_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000777C0D_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000769FA8_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000076952F_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000076827C_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000543BAC_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000055FD59_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00005728C7_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00005EF577_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00007398EF_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000742D47_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000747EAD_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000074B376_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000075F56F_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000760B5C_9606	72	137	chr1	629434	629499	M1398162	8.27
URS0000761744_9606	72	137	chr1	629434	629499	M1398162	8.27
URS000076179E_9606	72	137	chr1	629434	629499	M1398162	8.27
URS00002337B8_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000521EE0_9606	26	64	chr1	629506	629544	M1398209	14.35
URS000026E5C5_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00002ACA4E_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000309675_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000031BE1A_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000033ECC1_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000038DFFF_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000038EE5F_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00003B4C57_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00003BE447_9606	8	46	chr1	629506	629544	M1398209	14.35
URS00003C4419_9606	8	46	chr1	629506	629544	M1398209	14.35
URS00003EE7EF_9606	-4	34	chr1	629506	629544	M1398209	14.35
URS00003F4919_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000400AFD_9606	8	46	chr1	629506	629544	M1398209	14.35
URS00004650F1_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00004E9D59_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000529F29_9606	26	64	chr1	629506	629544	M1398209	14.35
URS000052EB80_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00000433C6_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00000A0499_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00000A75D2_9606	8	46	chr1	629506	629544	M1398209	14.35
URS00000AA031_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00000D1B5B_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00000F9146_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000119F1B_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000149331_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000170DDE_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000019F5F1_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00001A3559_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00001FC043_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000201CE1_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000021D25D_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000234300_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00002375A2_9606	8	46	chr1	629506	629544	M1398209	14.35
URS00002377C3_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000025CB85_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000B1BB63_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000A160DA_9606	24	62	chr1	629506	629544	M1398209	14.35
URS0000A0C3D0_9606	15	53	chr1	629506	629544	M1398209	14.35
URS0000865691_9606	-23	15	chr1	629506	629544	M1398209	14.35
URS0000784101_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000077E70D_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000779FCE_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000779767_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000777C0D_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000769FA8_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000076952F_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000076827C_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000543BAC_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000055FD59_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00005728C7_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00005EF577_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00007398EF_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000742D47_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000747EAD_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000074B376_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000075F56F_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000760B5C_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000761744_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000076179E_9606	27	65	chr1	629506	629544	M1398209	14.35
URS000077962E_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00002A6C58_9606	28	66	chr1	629506	629544	M1398209	14.35
URS00001CA73E_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000B939A4_9606	27	65	chr1	629506	629544	M1398209	14.35
URS0000865691_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00003EE7EF_9606	27	65	chr1	629506	629544	M1398209	14.35
URS00001F1CC9_9606	-207	61	chr1	630764	631032	M1398271	0.0
URS0000505D2A_9606	-207	61	chr1	630764	631032	M1398271	0.0
URS000051BFFE_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000543F1F_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00004D87D7_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00004C8CB3_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00004C7643_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000049764E_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000474095_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000045A923_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000054852E_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000566AE5_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000056DF52_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00005A6EED_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00005EBF9D_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000619162_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000741AEA_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000075914F_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000075F5CA_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00000133BF_9606	8	276	chr1	630764	631032	M1398271	0.0
URS00000E14CD_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00001060BD_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000125D0F_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000162BC0_9606	-204	64	chr1	630764	631032	M1398271	0.0
URS0000181EC9_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000022EE2A_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000246190_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000261D9D_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000027DE25_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000027F4CE_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000371128_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00003D71C5_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000400FCB_9606	-207	61	chr1	630764	631032	M1398271	0.0
URS000040E655_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000420419_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000042BFE1_9606	-208	60	chr1	630764	631032	M1398271	0.0
URS000043089F_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000431B49_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000BA06DA_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000A6EE1B_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000A466F5_9606	-208	60	chr1	630764	631032	M1398271	0.0
URS00009F3BD4_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00009E0C39_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00008FE2A7_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000083AD25_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00007D2297_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000788E07_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000785925_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00007855C0_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000783A78_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000782FEA_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000782102_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000764657_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00007647C9_9606	-247	21	chr1	630764	631032	M1398271	0.0
URS0000764EC9_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000768D7A_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000076A69E_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000076CF72_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000076F84E_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000771F40_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00007726DE_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000776BB4_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00007780DE_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00007799C2_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000077D815_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000077FF41_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS000048A269_9606	-205	63	chr1	630764	631032	M1398271	0.0
URS000076E666_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000031672_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS00007837A9_9606	-206	62	chr1	630764	631032	M1398271	0.0
URS0000200C14_9606	-133	135	chr1	630764	631032	M1398271	0.0
URS00005FD511_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00007538C5_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000759283_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00005DD052_9606	-62	206	chr1	630764	631032	M1398271	0.0
URS00005D105B_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00005B486A_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000075944C_9606	-133	135	chr1	630764	631032	M1398271	0.0
URS0000759615_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000759660_9606	-133	135	chr1	630764	631032	M1398271	0.0
URS000075968C_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000075F7A2_9606	-134	134	chr1	630764	631032	M1398271	0.0
URS000076026C_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00007631FB_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000763E64_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000076684F_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00005B0FBE_9606	-62	206	chr1	630764	631032	M1398271	0.0
URS00004F5DC5_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00004B2D9E_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000411D37_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000033A453_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00002B8D82_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00002B422D_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00001D80D5_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00001D2407_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00001B0B00_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00001687BE_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000103113_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00000C8C12_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000008BA3B_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00000601BA_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00000208B4_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000B89D28_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000A27149_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000A06E12_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00009E2B1C_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00009D0382_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000083C857_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000819D12_9606	-62	206	chr1	630764	631032	M1398271	0.0
URS0000815549_9606	-62	206	chr1	630764	631032	M1398271	0.0
URS00007CDF62_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000780E84_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000077F722_9606	-135	133	chr1	630764	631032	M1398271	0.0
URS0000766869_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000769ABC_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000076ACDA_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000076B581_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000076C7E8_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000076CF54_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00007753C6_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000777FC9_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS00007780E8_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000077882F_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000779947_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000077E056_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS000005FBEE_9606	-131	137	chr1	630764	631032	M1398271	0.0
URS00002A2AF2_9606	-132	136	chr1	630764	631032	M1398271	0.0
URS0000832EA8_9606	-115	153	chr1	630764	631032	M1398271	0.0
URS00007937D2_9606	-96	172	chr1	630764	631032	M1398271	0.0
URS00007ADE2F_9606	-106	162	chr1	630764	631032	M1398271	0.0
URS000083167E_9606	-50	218	chr1	630764	631032	M1398271	0.0
URS000058D04B_9606	-165	103	chr1	630764	631032	M1398271	0.0
URS000032630B_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS0000355C98_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000037B521_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS0000393157_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00003BFABC_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00003C9180_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00003CCFB0_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00003D1DD4_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS0000441D45_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS0000455F7F_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000047DB43_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00004A5555_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00004BC33F_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00004C55DE_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00004DE214_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00004EC5CB_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00004F657E_9606	-166	102	chr1	630764	631032	M1398271	0.0
URS000050DDBE_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000050E3CE_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS0000512243_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000052AA47_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00005F40A5_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000004FD29_9606	-75	193	chr1	630764	631032	M1398271	0.0
URS0000034729_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00000166EE_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000006EB9F_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000007A25C_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00000B3323_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00000B7ED7_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00000BA374_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00000DBA77_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00000E8CA4_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00000F41DD_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000013A388_9606	-166	102	chr1	630764	631032	M1398271	0.0
URS000014AC9A_9606	-166	102	chr1	630764	631032	M1398271	0.0
URS000015ECFD_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00001A878D_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00001BD944_9606	-36	232	chr1	630764	631032	M1398271	0.0
URS00001C3FA2_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000022C3F4_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000022F45A_9606	-166	102	chr1	630764	631032	M1398271	0.0
URS000028BA24_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00003039AD_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS00003051FC_9606	-166	102	chr1	630764	631032	M1398271	0.0
URS000077C3F9_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000077C6E5_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS0000781527_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS0000783FF3_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000078439F_9606	-35	233	chr1	630764	631032	M1398271	0.0
URS000078501D_9606	-35	233	chr1	630764	631032	M1398271	0.0
