Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
tmRNA-Website	Acidi_ferro_23270		sequence	HG525439	
tmRNA-Website	Acidi_ferro_23270		sequence	HG525440	
tmRNA-Website	Acido_avena_19860		sequence	HG787041	
tmRNA-Website	Acido_avena_19860		sequence	HG525180	
tmRNA-Website	Acido_capsu_51196		sequence	HG787909	
tmRNA-Website	Acido_capsu_51196		sequence	HG526048	
tmRNA-Website	Acido_cellu_11B		sequence	HG788475	
tmRNA-Website	Acido_cellu_11B		sequence	HG526614	
tmRNA-Website	Acido_citru_AAC001		sequence	HG525179	
tmRNA-Website	Acido_citru_AAC001		sequence	HG787040	
tmRNA-Website	Acido_citru_AAC001		sequence	HG787039	
tmRNA-Website	Acido_citru_AAC001		sequence	HG525178	
tmRNA-Website	Acido_sp_JS42		sequence	HG525212	
tmRNA-Website	Acido_sp_JS42		sequence	HG787073	
tmRNA-Website	Acido_sp_JS42		sequence	HG787072	
tmRNA-Website	Acido_sp_JS42		sequence	HG525211	
tmRNA-Website	Acido_sp_KKS102		sequence	HG525224	
tmRNA-Website	Acido_sp_KKS102		sequence	HG787085	
tmRNA-Website	Acine_bauma_17978		sequence	HG783263	
tmRNA-Website	Acine_bauma_17978		sequence	HG521417	
tmRNA-Website	Acine_bauma_17978		sequence	HG783265	
tmRNA-Website	Acine_bauma_17978		sequence	HG783266	
tmRNA-Website	Acine_bauma_17978		sequence	HG783267	
tmRNA-Website	Acine_bauma_17978		sequence	HG783268	
tmRNA-Website	Acine_bauma_17978		sequence	HG783269	
tmRNA-Website	Acine_bauma_17978		sequence	HG783270	
tmRNA-Website	Acine_bauma_17978		sequence	HG783271	
tmRNA-Website	Acine_bauma_17978		sequence	HG783272	
tmRNA-Website	Acine_bauma_17978		sequence	HG783273	
tmRNA-Website	Acine_bauma_17978		sequence	HG783274	
tmRNA-Website	Acine_bauma_17978		sequence	HG783275	
tmRNA-Website	Acine_bauma_17978		sequence	HG783276	
tmRNA-Website	Acine_bauma_17978		sequence	HG783277	
tmRNA-Website	Acine_bauma_17978		sequence	HG783278	
tmRNA-Website	Acine_bauma_17978		sequence	HG521402	
tmRNA-Website	Acine_bauma_17978		sequence	HG521403	
tmRNA-Website	Acine_bauma_17978		sequence	HG521404	
tmRNA-Website	Acine_bauma_17978		sequence	HG521405	
tmRNA-Website	Acine_bauma_17978		sequence	HG521406	
tmRNA-Website	Acine_bauma_17978		sequence	HG521407	
tmRNA-Website	Acine_bauma_17978		sequence	HG521408	
tmRNA-Website	Acine_bauma_17978		sequence	HG521409	
tmRNA-Website	Acine_bauma_17978		sequence	HG521410	
tmRNA-Website	Acine_bauma_17978		sequence	HG521411	
tmRNA-Website	Acine_bauma_17978		sequence	HG521412	
tmRNA-Website	Acine_bauma_17978		sequence	HG521413	
tmRNA-Website	Acine_bauma_17978		sequence	HG521414	
tmRNA-Website	Acine_bauma_17978		sequence	HG521415	
tmRNA-Website	Acine_bauma_17978		sequence	HG521416	
tmRNA-Website	Acine_bauma_17978		sequence	HG783264	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783089	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783090	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783091	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783092	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783093	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783094	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783095	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783096	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783097	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783098	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783099	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783100	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783101	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783102	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783103	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783104	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783105	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783106	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783107	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783108	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783109	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783110	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783153	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783154	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783155	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783156	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783157	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783158	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783159	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783160	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783161	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783162	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783163	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783164	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783165	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783166	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783167	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783168	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783169	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783170	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783171	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783172	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783173	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783174	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783047	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783048	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783049	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783050	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783051	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783052	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783053	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783054	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783055	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783056	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783057	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783058	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783059	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783060	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783061	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783062	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783063	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783064	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783065	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783066	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783067	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783068	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783069	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783070	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783071	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783072	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783073	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783074	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783075	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783076	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783077	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783078	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783079	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783080	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783081	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783082	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783083	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783084	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783085	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783086	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783087	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783088	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783217	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783218	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783219	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783220	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783221	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783222	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783223	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783224	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783225	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783226	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783227	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783228	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783229	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783230	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783231	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783232	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783233	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783234	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783235	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783236	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783237	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783238	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783111	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783112	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783113	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783114	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783115	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783116	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783117	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783118	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783119	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783120	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783121	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783122	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783123	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783124	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783125	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783126	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783127	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783128	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783129	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783130	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783131	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783132	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783133	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783134	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783135	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783136	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783137	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783138	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783139	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783140	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783141	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783142	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783143	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783144	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783145	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783146	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783147	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783148	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783149	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783150	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783151	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783152	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783262	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783175	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783176	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783177	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783178	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783179	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783180	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783181	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783182	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783183	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783184	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783185	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783186	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783187	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783188	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783189	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783190	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783191	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783192	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783193	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783194	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783195	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783196	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783197	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783198	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783199	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783200	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783201	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783202	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783203	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783204	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783205	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783206	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783207	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783208	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783209	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783210	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783211	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783212	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783213	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783214	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783215	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783216	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783239	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783240	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783241	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783242	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783243	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783244	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783245	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783246	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783247	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783248	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783249	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783250	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783251	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783252	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783253	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783254	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783255	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783256	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783257	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783258	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783259	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783260	
tmRNA-Website	Acine_bauma_AYE		sequence	HG783261	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521239	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521240	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521241	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521242	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521243	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521244	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521245	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521246	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521247	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521248	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521249	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521250	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521251	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521252	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521253	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521254	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521255	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521256	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521257	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521258	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521259	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521260	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521261	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521262	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521263	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521264	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521265	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521266	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521267	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521186	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521187	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521188	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521189	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521190	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521191	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521192	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521193	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521194	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521195	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521196	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521197	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521198	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521199	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521200	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521201	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521202	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521203	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521303	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521304	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521305	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521306	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521307	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521308	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521309	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521310	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521311	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521312	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521313	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521314	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521315	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521316	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521317	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521318	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521319	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521320	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521321	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521322	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521323	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521324	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521325	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521326	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521327	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521328	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521329	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521330	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521331	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521204	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521205	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521206	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521207	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521208	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521209	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521210	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521211	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521212	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521213	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521214	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521215	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521216	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521217	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521218	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521219	
tmRNA-Website	Acine_bauma_AYE		sequence	HG521220	
